assessment_id	node_a	node_b	calibration_stratum	hard_negative	period_band	source_family	design_history_domain	primary_generic_type	secondary_generic_type	historical_scope	context_scope	d1	d2	d3	d4	d5	d6	d7	cooccurrence_only	qualification_required	evidence_refs	association_strength	evidence_confidence	evidence_status	qualification	decision_reason	method_version
R14-ASSOC-019	advertising	consumer culture	BORDERLINE	false	1964 and retrospective accounts	Eye primary designer account	graphic design primary sources	ECONOMIC_COMMERCIAL	SOCIAL_IDENTITY	Ken Garland's First Things First intervention	Commercial priorities, consumer selling, and social-purpose alternatives	2	1	0	2	2	1	1	false	false	R14-EVID-019-01;R14-EVID-019-02	STRONG	MODERATE	SOURCE_SUPPORTED	Supported by archive/source evidence. Independent scholarly validation pending.	The designer's own published accounts explicitly connect advertising priorities with consumer selling and social context.	trace-generic-association-rubric-v1
R14-ASSOC-020	craft	education	BORDERLINE	false	1919 Bauhaus foundation	Bauhaus archive	design education primary source	INSTITUTIONAL_PROFESSIONAL	PRACTICE_PRODUCTION	Staatliches Bauhaus founding program	Workshop education and the joining of art and craft	2	1	0	2	2	1	1	false	false	R14-EVID-020-01	STRONG	MODERATE	SOURCE_SUPPORTED	Supported by archive/source evidence. Independent scholarly validation pending.	The institutional archive presents the primary program's explicit educational and workshop context.	trace-generic-association-rubric-v1
R14-ASSOC-021	design education	institutionalization	BORDERLINE	false	1870–2021	interior-design history;graphic-design professions	professional history	INSTITUTIONAL_PROFESSIONAL		Formal design education and university visual-identity practice	Education, accreditation, universities, associations, and professional logic	1	2	1	2	2	2	2	false	false	R14-EVID-021-01;R14-EVID-021-02	MODERATE	HIGH	EXTERNALLY_SUPPORTED	The association is institutional and contextual, not a universal path to professional status.	Independent studies repeatedly place formal education and universities within institutionalization contexts.	trace-generic-association-rubric-v1
R14-ASSOC-022	cultural transfer	cultural negotiation	BORDERLINE	false	colonial and Cold War design circulation	transfer studies;contact zones	design and architectural history	CIRCULATION_EXCHANGE	CULTURAL_DISCURSIVE	Print, exhibition, and architectural contact settings	Receiving agency and negotiated borrowing are compatible but not directly joined across the bounded sources	1	2	1	2	1	1	2	false	true	R14-EVID-022-01;R14-EVID-022-02;R14-EVID-022-03	MODERATE	MODERATE	QUALIFIED	The bridge is cross-source and conceptually plausible, but direct historical contextual support remains incomplete.	Evidence exists for both concepts and receiving agency, but the V1 proximity gate excludes this qualified bridge.	trace-generic-association-rubric-v1
R14-ASSOC-023	cultural transformation	piracy	NEGATIVE	true	mixed	architectural transformation;fashion piracy	cross-domain control	CULTURAL_DISCURSIVE	ECONOMIC_COMMERCIAL	No shared bounded historical case	Near-neighbour language about change does not establish association	0	1	1	1	0	0	0	false	false	R14-EVID-023-01;R14-EVID-023-02	WEAK	LOW	INSUFFICIENT	Separate source families attest each concept only.	No source-level contextual bridge supports meaningful proximity.	trace-generic-association-rubric-v1
R14-ASSOC-024	design education	commodification	NEGATIVE	true	mixed	professionalization;exposition commodification	cross-domain control	INSTITUTIONAL_PROFESSIONAL	ECONOMIC_COMMERCIAL	No shared bounded historical case	Broad design-history membership only	0	1	1	2	0	0	0	true	false	R14-EVID-024-01;R14-EVID-024-02	WEAK	LOW	INSUFFICIENT	Corpus co-membership is not contextual evidence.	The sources support separate histories, not this association.	trace-generic-association-rubric-v1
R14-ASSOC-025	gendering	mobile object	NEGATIVE	true	mixed	exposition gendering;object mobility	cross-domain control	SOCIAL_IDENTITY	CIRCULATION_EXCHANGE	No shared bounded historical case	Possible visual-culture overlap without direct evidence	0	1	1	2	0	0	0	false	false	R14-EVID-025-01;R14-EVID-025-02	WEAK	LOW	INSUFFICIENT	A future case-specific study could change the result; none is present here.	The evidence rows attest different concepts in unrelated cases.	trace-generic-association-rubric-v1
R14-ASSOC-026	professionalization	material displacement	NEGATIVE	true	mixed	professional history;material history	cross-domain control	INSTITUTIONAL_PROFESSIONAL	MATERIAL_TECHNOLOGICAL	No shared bounded historical case	Both are design-history topics but not a supported local association	0	1	1	2	0	0	0	true	false	R14-EVID-026-01;R14-EVID-026-02	WEAK	LOW	INSUFFICIENT	Domain alignment alone cannot activate proximity.	This hard negative tests broad disciplinary similarity without contextual support.	trace-generic-association-rubric-v1
R14-ASSOC-027	photography	institutionalization	NEGATIVE	true	mixed	MoMA exhibition;professional history	cross-domain control	INSTITUTIONAL_PROFESSIONAL	MATERIAL_TECHNOLOGICAL	No shared bounded historical case	Modern design prominence without a source-level bridge	0	1	1	2	0	0	0	false	false	R14-EVID-027-01;R14-EVID-027-02	WEAK	LOW	INSUFFICIENT	Prominence in design history is not association evidence.	Separate records do not justify close placement.	trace-generic-association-rubric-v1
R14-ASSOC-028	craft	design diplomacy	NEGATIVE	true	mixed	Bauhaus archive;exhibition diplomacy	cross-domain control	CIRCULATION_EXCHANGE	PRACTICE_PRODUCTION	No shared bounded historical case	Institutional design contexts remain unrelated at the assessed scope	0	1	1	2	0	0	0	false	false	R14-EVID-028-01;R14-EVID-028-02	WEAK	LOW	INSUFFICIENT	A specific diplomatic craft exhibition could support a future assessment; none is bound here.	The evidence does not contextualize the concepts together.	trace-generic-association-rubric-v1
R14-ASSOC-029	Bauhaus	desktop publishing	NEGATIVE	false	1919 versus late twentieth century	Bauhaus archive;digital design history	obvious temporal control	TEMPORAL_HISTORICAL_CONTEXT	MATERIAL_TECHNOLOGICAL	Non-overlapping source cases	Famous design topics with no bounded bridge in the evidence	0	1	1	2	1	0	0	true	false	R14-EVID-029-01;R14-EVID-029-02	WEAK	LOW	INSUFFICIENT	Chronological difference alone is not proof of disassociation, but the supplied evidence cannot justify proximity.	This obvious negative verifies that corpus fame does not substitute for evidence.	trace-generic-association-rubric-v1
R14-ASSOC-030	Arts and Crafts	digital interface	NEGATIVE	false	nineteenth century versus digital era	design education archive;digital design history	obvious temporal control	TEMPORAL_HISTORICAL_CONTEXT	MATERIAL_TECHNOLOGICAL	No shared bounded case	Chronological bookends without documented circulation or reception	0	1	1	1	1	0	0	true	false	R14-EVID-030-01;R14-EVID-030-02	WEAK	LOW	INSUFFICIENT	A documented reception history could change the assessment.	Temporal contrast and broad design classification do not establish association.	trace-generic-association-rubric-v1
R14-ASSOC-031	Swiss typography	Brazilian exposition	NEGATIVE	false	1930s modernism versus 1867 exposition	MoMA exhibition;Brazilian exposition	obvious case control	TEMPORAL_HISTORICAL_CONTEXT	CULTURAL_DISCURSIVE	Distinct cases and geographies	No source-level discussion of reception or exchange	0	1	1	2	1	0	0	false	false	R14-EVID-031-01;R14-EVID-031-02	WEAK	LOW	INSUFFICIENT	Shared graphic-design historiography is insufficient.	The evidence provides no contextual bridge.	trace-generic-association-rubric-v1
R14-ASSOC-032	photomontage	professionalization	NEGATIVE	true	mixed	MoMA exhibition;professional history	hard near-neighbour control	PRACTICE_PRODUCTION	INSTITUTIONAL_PROFESSIONAL	No shared bounded historical case	A practice and a professional process that may coexist but are not linked here	0	1	1	2	0	0	0	false	false	R14-EVID-032-01;R14-EVID-032-02	WEAK	LOW	INSUFFICIENT	Plausible coexistence is not evidence-grounded association.	The sources independently attest practice and professionalization without a shared context.	trace-generic-association-rubric-v1
R14-ASSOC-033	gendering	design education	NEGATIVE	true	mixed	Brazilian exposition;professional education	hard local-coherence control	SOCIAL_IDENTITY	INSTITUTIONAL_PROFESSIONAL	No shared bounded historical case in the supplied evidence	Both topics may intersect in future research, but these sources do not join them	0	1	1	2	0	0	0	false	false	R14-EVID-033-01;R14-EVID-033-02	WEAK	LOW	INSUFFICIENT	Potential general relevance is not case-level support.	Separate evidence units cannot justify skip-one proximity.	trace-generic-association-rubric-v1
R14-ASSOC-034	commodification	institutionalization	NEGATIVE	true	mixed	exposition commodification;professional institutions	hard local-coherence control	ECONOMIC_COMMERCIAL	INSTITUTIONAL_PROFESSIONAL	No shared bounded historical case in the supplied evidence	Broad institutional/economic overlap only	0	1	1	2	0	0	0	true	false	R14-EVID-034-01;R14-EVID-034-02	WEAK	LOW	INSUFFICIENT	Co-membership in design-history scholarship is insufficient.	No contextual evidence binds the concepts in the assessed scope.	trace-generic-association-rubric-v1
R14-ASSOC-035	imitation	cultural transformation	NEGATIVE	true	mixed	fashion imitation;architectural transformation	hard local-coherence control	CULTURAL_DISCURSIVE	PRACTICE_PRODUCTION	No shared bounded historical case in the supplied evidence	Generic change language without shared actors, place, or source discussion	0	1	1	1	0	0	0	false	false	R14-EVID-035-01;R14-EVID-035-02	WEAK	LOW	INSUFFICIENT	Separate studies attest the terms only.	The skip-one control has no evidence-grounded contextual bridge.	trace-generic-association-rubric-v1
