pair_id	public_object_id_a	public_object_id_b	task	pair_class	control_type	verification_source	verification_strength	verification_artifact_path	verification_artifact_sha256	eligibility_artifact_path	eligibility_artifact_sha256	verification_locator_sha256	field_aspects_available	language_script	source_identity	source_item_identity	representation_qualifier	archive_native_variant_evidence	reason	prohibited_interpretation
NLP-PAIR-09EF82E23057C583A433	SURF-HISTORICALAICTRACE2026V1R0009	SURF-HISTORICALAICTRACE2026V1R0016	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	RIGHTS_PROVENANCE_TEXT_SIMILARITY	frozen canonical sourceNotes exact hash with different governed titles	MECHANICAL_EXACT_HASH_CONTROL	generated/public_surfaces_prefreeze_candidate_v48.json	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	4bd5b833c8d6a07b744c093a293129a067add8f42d1696fa5830e7875367addd	NLP_TITLE,NLP_SUBJECT|NLP_TITLE,NLP_SUBJECT	Latin	SAME		DIAGNOSTIC_NEGATIVE_CONTROL	false	Repeated notes test rights, provenance, and provider-template leakage.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-0AC89ABA2C5598407D73	SURF-LOCTRACE2026I3AE740A9F37F8B	SURF-LOCTRACE2026ID1415D440F1506	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	SAME_TITLE_DIFFERENT_ID	governed Context title exact-normalized equality plus distinct ledger identities	MECHANICAL_EXACT_TEXT_AND_IDENTITY	frontend/generated/trace-context-v1/records.json	c767b9661e4cb417cfaae3948d7ed2b974fc88e1dcc9a3686eae90ae8610a9e7	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	f794784883dcde52a3edf1040127be4c15c3667aba0079292448d88d07abf520	NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE|NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE	Latin	SAME		DIAGNOSTIC_NEGATIVE_CONTROL	false	Exact same title across distinct public objects tests identity collapse.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-0B65C424900A6EE9F9BB	SURF-HISTORICALAICTRACE2026V1R0124	SURF-LOCTRACE2026I186509C5FBCDE4	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	DATE_ONLY_MATCH	governed Spacetime sourceDisplay equality with different source and title	MECHANICAL_METADATA_CONTROL	frontend/generated/trace-spacetime-v1/record-index.json	0f4720672f1e906301e3966dc3970737e3a1e459b27317b47018a2e6445c3dec	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	3f44a6b55fc1376c6a4f13fa59c0c3e3fdee1b53f992daf51d770eeb5a28ad7b	NLP_TITLE,NLP_SUBJECT|NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE	Latin	DIFFERENT		DIAGNOSTIC_NEGATIVE_CONTROL	false	Matching recorded date alone must not become semantic affinity.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-0BD3E86A4670E6A92934	SURF-LOCTRACE2026I6D03759D157739	SURF-LOCTRACE2026IDF178B1DC5568B	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	RIGHTS_PROVENANCE_TEXT_SIMILARITY	frozen canonical sourceNotes exact hash with different governed titles	MECHANICAL_EXACT_HASH_CONTROL	generated/public_surfaces_prefreeze_candidate_v48.json	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	d7cbae66850b4dc753cc2dc71f7f36a0c21088a6649c39c970c8cad2d77c6fab	NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE|NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE	Latin	SAME		DIAGNOSTIC_NEGATIVE_CONTROL	false	Repeated notes test rights, provenance, and provider-template leakage.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-0CA96DA34EB28A49A4C7	SURF-CHWCONTEMP2026V1R0055	SURF-CHWCONTEMP2026V1R0056	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	SAME_TITLE_DIFFERENT_ID	governed Context title exact-normalized equality plus distinct ledger identities	MECHANICAL_EXACT_TEXT_AND_IDENTITY	frontend/generated/trace-context-v1/records.json	c767b9661e4cb417cfaae3948d7ed2b974fc88e1dcc9a3686eae90ae8610a9e7	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	0dd72710a33a593480660e76ed7460d64137e1d3ed31dd308670805ca749d6f6	NLP_TITLE,NLP_SOURCE_NARRATIVE|NLP_TITLE,NLP_SOURCE_NARRATIVE	Latin	SAME		DIAGNOSTIC_NEGATIVE_CONTROL	false	Exact same title across distinct public objects tests identity collapse.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-0CD8A422270D3C2F8F15	SURF-LOCTRACE2026I5ADD76FE7F7EC0	SURF-LOCTRACE2026IDBFE2F7A4C3D11	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	SAME_TITLE_DIFFERENT_ID	governed Context title exact-normalized equality plus distinct ledger identities	MECHANICAL_EXACT_TEXT_AND_IDENTITY	frontend/generated/trace-context-v1/records.json	c767b9661e4cb417cfaae3948d7ed2b974fc88e1dcc9a3686eae90ae8610a9e7	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	65dd4be9501b80b985c10995a52c71be2bab891d512a74719e55b32a3717ee8b	NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE|NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE	Latin	SAME		DIAGNOSTIC_NEGATIVE_CONTROL	false	Exact same title across distinct public objects tests identity collapse.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-0D158AD56C4C0D53E5B4	SURF-YALEPRODUCTTRACE2026V3R0099	SURF-YALEPRODUCTTRACE2026V3R0100	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	SAME_TITLE_DIFFERENT_ID	governed Context title exact-normalized equality plus distinct ledger identities	MECHANICAL_EXACT_TEXT_AND_IDENTITY	frontend/generated/trace-context-v1/records.json	c767b9661e4cb417cfaae3948d7ed2b974fc88e1dcc9a3686eae90ae8610a9e7	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	24637fb03686231229a32b2a45e1396c94b9ec19aaa0ef6aba7deed87b699a74	NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE|NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE	Latin	SAME		DIAGNOSTIC_NEGATIVE_CONTROL	false	Exact same title across distinct public objects tests identity collapse.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-0D8B726C8030FA7449F0	SURF-AICTRACEV47R0001	SURF-CONTEMPORARYAICTRACE2026V1R0001	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	SAME_SOURCE_ONLY	governed Context source identity with different title and disjoint structured labels	MECHANICAL_METADATA_CONTROL	frontend/generated/trace-context-v1/records.json	c767b9661e4cb417cfaae3948d7ed2b974fc88e1dcc9a3686eae90ae8610a9e7	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	80b285f36d33445f4244116178685caa316eccfed6a161ebe5c8272ae186e4d3	NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE|NLP_TITLE,NLP_SUBJECT	Latin	SAME		DIAGNOSTIC_NEGATIVE_CONTROL	false	Shared provider alone tests source-style leakage.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-0E5492AA333EACF3BE76	SURF-AICTRACEV47R0002	SURF-CGS2026R0383	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	SAME_COMMON_WORD_ONLY	deterministic title token document-frequency census	MECHANICAL_LEXICAL_CONTROL	frontend/generated/trace-context-v1/records.json	c767b9661e4cb417cfaae3948d7ed2b974fc88e1dcc9a3686eae90ae8610a9e7	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	1732d7fbd09e20d305f523f4de2fe871cc6aafcf38609aa835edcb5528a47697	NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE|NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE	Latin	DIFFERENT		DIAGNOSTIC_NEGATIVE_CONTROL	false	One common title token tests generic lexical attraction.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-0F01C4264B9FC98B635E	SURF-AICTRACEV47R0002	SURF-HISTORICALAICTRACE2026V1R0021	NLP_TASK_A_KNOWN_REPRESENTATION_RETRIEVAL	KNOWN_REPRESENTATION_POSITIVE	SAME_SOURCE_ITEM_DUPLICATE_IMPORT_IDENTITY	https://www.artic.edu/artworks/183283	IMMUTABLE_FROZEN_EXACT_INSTITUTIONAL_SOURCE_ITEM_IDENTITY	data/prefreeze_candidate_v48.sqlite	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	f0e22ed4590a4b1a51b92b2da0ff4486952386f7c028d62aa1ecbcd102858da4	NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE|NLP_TITLE,NLP_SUBJECT	Latin	SAME_INSTITUTION_DISTINCT_IMPORT_PIPELINES	AIC:183283	SAME_SOURCE_ITEM_DUPLICATE_IMPORT_IDENTITY	false	Distinct public import representations resolve to one exact institutional source item in immutable frozen evidence.	Importer-representation consistency only; no object-semantic, historical, influence, archive-native alternate-title/translation, multilingual, or cross-language inference.
NLP-PAIR-10425BECD83138CF729D	SURF-CAW2026R00629	SURF-COMPOUND-HUNTLEY-PALMERS-TRADE-CARDS	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	DATE_ONLY_MATCH	governed Spacetime sourceDisplay equality with different source and title	MECHANICAL_METADATA_CONTROL	frontend/generated/trace-spacetime-v1/record-index.json	0f4720672f1e906301e3966dc3970737e3a1e459b27317b47018a2e6445c3dec	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	86b0c67bfc8b6c167079583a62b376786a2b7afcc02f9eabece36f5badae48e9	NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE|NLP_TITLE,NLP_SOURCE_NARRATIVE	Latin	DIFFERENT		DIAGNOSTIC_NEGATIVE_CONTROL	false	Matching recorded date alone must not become semantic affinity.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-11098CB91D1C1BA19751	SURF-HISTORICALAICTRACE2026V1R0102	SURF-HISTORICALAICTRACE2026V1R0138	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	RIGHTS_PROVENANCE_TEXT_SIMILARITY	frozen canonical sourceNotes exact hash with different governed titles	MECHANICAL_EXACT_HASH_CONTROL	generated/public_surfaces_prefreeze_candidate_v48.json	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	ba551c33b7ff4b94db4042a148acbfffe495f35c5148cfc9c01ff4c45e93d723	NLP_TITLE,NLP_SUBJECT|NLP_TITLE,NLP_SUBJECT	Latin,mixed	SAME		DIAGNOSTIC_NEGATIVE_CONTROL	false	Repeated notes test rights, provenance, and provider-template leakage.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-12C5C2DF7F890DFB10E9	SURF-NBPOSTERTRACE2026V1R0183	SURF-NBPOSTERTRACE2026V1R0277	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	SAME_TITLE_DIFFERENT_ID	governed Context title exact-normalized equality plus distinct ledger identities	MECHANICAL_EXACT_TEXT_AND_IDENTITY	frontend/generated/trace-context-v1/records.json	c767b9661e4cb417cfaae3948d7ed2b974fc88e1dcc9a3686eae90ae8610a9e7	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	c01551d0c97e01cc51127144e2723a7e190f3d8044b6969cf850929e4e5054e7	NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE|NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE	Latin	SAME		DIAGNOSTIC_NEGATIVE_CONTROL	false	Exact same title across distinct public objects tests identity collapse.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-139B56A01B11714C51EE	SURF-NBPOSTERTRACE2026V1R0126	SURF-NBPOSTERTRACE2026V1R0205	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	SAME_TITLE_DIFFERENT_ID	governed Context title exact-normalized equality plus distinct ledger identities	MECHANICAL_EXACT_TEXT_AND_IDENTITY	frontend/generated/trace-context-v1/records.json	c767b9661e4cb417cfaae3948d7ed2b974fc88e1dcc9a3686eae90ae8610a9e7	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	8e614e16406f4a987c47896bc25cb6ba4bde9da338478e61f4b75493735ab563	NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE|NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE	Latin	SAME		DIAGNOSTIC_NEGATIVE_CONTROL	false	Exact same title across distinct public objects tests identity collapse.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
NLP-PAIR-14CDB41857317A97E7F2	SURF-HISTORICALAICTRACE2026V1R0048	SURF-IR1970R040	NLP_TASK_E_SOURCE_LEAKAGE	DIAGNOSTIC_NEGATIVE_CONTROL	SAME_COMMON_WORD_ONLY	deterministic title token document-frequency census	MECHANICAL_LEXICAL_CONTROL	frontend/generated/trace-context-v1/records.json	c767b9661e4cb417cfaae3948d7ed2b974fc88e1dcc9a3686eae90ae8610a9e7	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	4012ee85178d98afb4fefc6ed2cd253fba102d5e43fc00c4fe457b5de8d58de3	NLP_TITLE,NLP_SUBJECT|NLP_TITLE,NLP_SUBJECT,NLP_SOURCE_NARRATIVE	Latin	DIFFERENT		DIAGNOSTIC_NEGATIVE_CONTROL	false	One common title token tests generic lexical attraction.	Diagnostic control only; it is not a historical non-relation, semantic non-relation, probability, or evidence of influence.
