field_id	source_artifact	source_structure	source_field	primary_role	public_object_coverage	nonempty_count	distinct_value_count	character_length_p50	character_length_p95	character_length_p99	character_length_max	language_or_script_state	duplicate_rate	boilerplate_rate	contains_source_identity	contains_structured_label_leakage	contains_url	contains_markup	contains_rights_or_provenance	public_safe	rights_safe	governance_decision	reason	prohibited_use
NLP-FIELD-011	frontend/generated/trace-context-v1/records.json	records[].selectedRecord.rootMetadata	sourceName	SOURCE_RECORD_TITLE	7995	7995	15	28	46	49	49	Latin:7995	0.998123827	0.999749844	true	true	false	false	true	TRUE	TRUE	SOURCE_LEAKAGE_DIAGNOSTIC_ONLY	Provider identity is required for source-leakage measurement and masking.	Adds zero object-semantic affinity.
NLP-FIELD-012	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[]	historicalContextNote	CURATORIAL_NOTE	3308	3308	26	604	623	631	740	Latin:3308	0.992140266	0.92623942	false	true	false	false	true	TRUE	TRUE	EXPLANATION_ONLY	Bounded editorial context is not source-authored object text.	Do not embed, index, or use as relation evidence.
NLP-FIELD-013	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[]	classificationRationale	INTERNAL_CONTROL_TEXT	3308	3308	9	309	309	309	395	Latin:3308	0.997279323	0.98458283	false	true	false	false	true	TRUE	TRUE	EXCLUDE	Classification rationale directly leaks governed labels and workflow rules.	Do not index or use in proxy evaluation.
NLP-FIELD-014	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[]	citationBasis	PROVENANCE_TEXT	3308	3308	3308	96	134	182	603	Latin:3308	0	0	true	true	true	false	false	TRUE	TRUE	EXPLANATION_ONLY	Citation basis documents source verification rather than object meaning.	Adds zero object-semantic affinity.
NLP-FIELD-015	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[]	uncertaintyNote	INTERNAL_CONTROL_TEXT	3233	3233	6	102	102	102	175	Latin:3233	0.998144139	0.998762759	false	false	false	false	true	FALSE	FALSE	EXCLUDE	Workflow uncertainty text is an internal decision aid.	Do not expose or index as public semantic text.
NLP-FIELD-016	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[].compoundChildren[]	title	DOSSIER_TEXT	15	132	23	24	79.6	124.69	137	Latin:132	0.825757576	0.628787879	false	true	false	false	false	TRUE	REVIEW_REQUIRED	HOLD	Child-record titles describe components of a compound surface, not the parent object.	Do not collapse child identity into parent semantic text.
NLP-FIELD-017	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[].compoundChildren[]	note	DOSSIER_TEXT	15	132	122	904	946.45	947	947	Latin:132	0.075757576	0.075757576	true	true	false	false	true	TRUE	FALSE	HOLD	Child-record notes are long source/dossier narratives with separate identity.	Do not merge with parent or emit in review rows.
NLP-FIELD-018	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[].folders[]	title	INTERNAL_CONTROL_TEXT	7995	24102	118	14	39	41	52	Latin:24102	0.995104141	0.834826985	false	true	false	false	true	TRUE	TRUE	SOURCE_LEAKAGE_DIAGNOSTIC_ONLY	Folder titles are governed structured labels and candidate-generation metadata.	Do not treat folder membership or label text as free-text semantics.
NLP-FIELD-019	generated/public_surfaces_prefreeze_candidate_v48.json	folders[]	scopeNote	READING_NOTE	110	118	118	111	141.15	153.98	155	Latin:118	0	0	false	true	false	false	true	TRUE	TRUE	EXCLUDE	Container scope notes describe curated folders, not individual objects.	Do not copy a container note into member documents.
NLP-FIELD-020	generated/public_surfaces_prefreeze_candidate_v48.json	readingNotes[]	scopeNote	READING_NOTE	110	118	118	111	141.15	153.98	155	Latin:118	0	0	false	true	false	false	true	TRUE	TRUE	EXCLUDE	Reading-note scope text mirrors the curated folder note.	Do not double-index or assign to folder members.
NLP-FIELD-021	generated/public_surfaces_prefreeze_candidate_v48.json	registrationCards[].memberPages[]	title	REGISTRATION_TEXT	7995	24102	7630	23	109	163	806	Latin:24075;mixed:12;undetermined:15	0.683428761	0.00124471	false	true	false	false	true	TRUE	TRUE	EXCLUDE	Registration-card member titles mirror public and held surface titles.	Never traverse unfiltered membership or index this duplicate seam.
NLP-FIELD-022	generated/public_surfaces_prefreeze_candidate_v48.json	researchDossiers[].pageSequence[]	title	DOSSIER_TEXT	7995	24117	7642	23	109	163	806	Latin:24090;mixed:12;undetermined:15	0.683128084	0.001243936	false	true	false	false	true	TRUE	TRUE	EXCLUDE	Dossier page titles are repeated display projections of surface titles.	Do not count repeated pages as independent documents.
NLP-FIELD-023	generated/public_surfaces_prefreeze_candidate_v48.json	appendices[]	title	DOSSIER_TEXT	7995	7995	7630	23	109	163	806	Latin:7986;mixed:4;undetermined:5	0.045653533	0	false	true	false	false	true	TRUE	TRUE	EXCLUDE	Appendix title is a duplicate display projection of the object title.	Do not double-index.
NLP-FIELD-024	frontend/generated/trace-context-v1/records.json	records[].representations[]	label	INTERNAL_CONTROL_TEXT	7995	16106	25	28	39	41	52	Latin:16106	0.998447783	0.954675276	false	true	false	false	true	TRUE	TRUE	SOURCE_LEAKAGE_DIAGNOSTIC_ONLY	Medium, theme, and movement labels are governed proxy targets.	Do not include unmasked in metadata-holdout input.
NLP-FIELD-025	frontend/generated/trace-spacetime-v1/record-index.json	records[]	recordedRegionDisplays	INTERNAL_CONTROL_TEXT	7995	7996	93	13	17	22	30	Latin:7996	0.988369185	0.756878439	false	true	false	false	false	TRUE	TRUE	EXCLUDE	Recorded region displays are governed Spacetime observations.	Do not use geography wording as semantic input.
NLP-FIELD-026	frontend/generated/trace-spacetime-v1/record-index.json	records[].time	sourceDisplay	INTERNAL_CONTROL_TEXT	7995	7995	509	4	5	15	65	Latin:340;undetermined:7655	0.93633521	0.422764228	false	false	false	false	false	TRUE	TRUE	EXCLUDE	Date display is temporal metadata.	Do not allow date-only semantic affinity.
NLP-FIELD-027	docs/audits/v49-exploration-similarity-round1/raw/human-review-summary.json	rows[]/explanationRows[]	anchorTitle/candidateTitle	OBJECT_TITLE	303	1728	297	40	105	245	245	Latin:1718;mixed:10	0.828125	0.471643519	false	true	false	false	true	TRUE	TRUE	EXCLUDE	Round 6 titles are bounded governed-title mirrors for structured review.	Do not use a prior model output packet as corpus input.
NLP-FIELD-028	data/prefreeze_candidate_v48.sqlite	object_metadata_rows[CITATIONS]	Alternate representation	PROVENANCE_TEXT	1	1	1	109	109	109	109	Latin:1	0	0	false	true	true	false	false	TRUE	TRUE	HOLD	One public row exists but does not expose a governed alternate-title pair.	Do not label a positive pair or translation without external identity evidence.
NLP-FIELD-029	data/prefreeze_candidate_v48.sqlite	search_documents	body	INTERNAL_CONTROL_TEXT	7995	7995	7440	787	1336	1567.06	10462	Latin:7950;mixed:45	0.069418386	0.015009381	true	true	true	true	true	TRUE	FALSE	EXCLUDE	Search body flattens titles, descriptions, labels, and control tokens.	Do not reuse frozen Search documents as NLP semantic documents.
NLP-FIELD-030	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[].tables[].rows[]	label/value	INTERNAL_CONTROL_TEXT	7995	794930	36798	13	58	117	5000	Latin:740664;mixed:20;undetermined:54246	0.953709132	0	true	true	true	true	true	TRUE	FALSE	EXCLUDE	Display tables mirror normalized, source, rights, citation, and relation fields.	Do not flatten tables or duplicate their source values.
NLP-FIELD-031	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[].collectionEvidence	label/boundary	SOURCE_COLLECTION_DESCRIPTION	7990	15980	56	75	91	91	587	Latin:15980	0.99649562	0.988548185	true	true	true	false	true	TRUE	TRUE	SOURCE_LEAKAGE_DIAGNOSTIC_ONLY	Collection evidence describes source scope and collection boundaries.	Do not treat collection description as object description.
NLP-FIELD-032	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[].rights/image	rights.label/image.licenseLabel	RIGHTS_TEXT	7995	15990	53	74	124	140	158	Latin:15990	0.996685428	0.949843652	true	true	false	false	true	TRUE	FALSE	EXCLUDE	Rights and license labels govern display and reuse.	Adds zero object-semantic affinity.
NLP-FIELD-033	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[].sourceProvenance	boundary/roles/hosts	PROVENANCE_TEXT	1360	6807	30	38	103	103	111	Latin:6807	0.995592772	0.998530924	true	true	true	false	true	TRUE	FALSE	EXPLANATION_ONLY	Source-provenance fields describe record custody and source roles.	Adds zero object-semantic affinity.
NLP-FIELD-034	data/prefreeze_candidate_v48.sqlite	capture_records	source_title	SOURCE_RECORD_TITLE	3296	3296	3073	37	116	180.05	806	Latin:3288;mixed:4;undetermined:4	0.067657767	0.025182039	false	true	false	false	true	TRUE	TRUE	EXCLUDE	Partial capture table mirrors the canonical/governed title for 3,296 public objects.	Do not create a second title document or infer alternate representation.
NLP-FIELD-035	data/prefreeze_candidate_v48.sqlite	capture_records	source_description	SOURCE_NARRATIVE	2733	2733	1458	100	264.4	692.68	5000	Latin:2731;mixed:2	0.466520307	0.411635565	false	true	true	false	true	TRUE	REVIEW_REQUIRED	EXCLUDE	Partial capture seam mirrors canonical sourceDescription where populated.	Use canonical public-filtered sourceDescription only.
NLP-FIELD-036	data/prefreeze_candidate_v48.sqlite	capture_records	source_notes	PROVENANCE_TEXT	3294	3294	662	135	215.35	236	623	Latin:3294	0.799028537	0.544930176	false	true	true	true	true	TRUE	FALSE	EXCLUDE	Partial capture notes mirror canonical sourceNotes.	Do not index or duplicate provenance/template text.
NLP-FIELD-037	data/prefreeze_candidate_v48.sqlite	capture_records	source_subjects	OBJECT_SUBJECT_TERMS	3225	3225	1310	72	184.8	255.76	428	Latin:3210;mixed:15	0.59379845	0.472868217	false	true	false	true	true	TRUE	REVIEW_REQUIRED	EXCLUDE	Partial capture subject seam mirrors canonical sourceSubjects.	Use only the canonical governed subject seam.
