gate_id	requirement	contract_source	verification_method	expected_result	receipt_key
CC-AC-005	Node drag updates preview geometry and commits one history entry	04_INTERACTION_AND_STATE_CONTRACT.md; 05_LAYOUT_AND_CONNECTION_CONTRACT.md	Simulate pointer sequence; assert live positions/paths and one commit at pointer up	PASS	NODE_DRAG=PASS
CC-AC-006	Pan, zoom, fit, auto-arrange, reset view, and reset canvas are finite and usable	02_CONTROL_INVENTORY.tsv; 05_LAYOUT_AND_CONNECTION_CONTRACT.md	Pure-test transforms, clamp, empty/one-node fit, deterministic arrange, and reset scopes	PASS	PAN=PASS; ZOOM=PASS; FIT=PASS; AUTO_ARRANGE=PASS; RESET_VIEW=PASS; RESET_CANVAS=PASS
CC-AC-007	Exactly zero or one node/connection selection drives category-correct inspector	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md; 04_INTERACTION_AND_STATE_CONTRACT.md	Select node, each connection category, and background; assert stable ID selection and verified fields	PASS	NODE_SELECTION=PASS; CONNECTION_SELECTION=PASS; INSPECTOR=PASS
CC-AC-008	History covers composition actions and is bounded at 50	04_INTERACTION_AND_STATE_CONTRACT.md	Exercise add/hide/move/template/arrange, undo/redo, future clearing, drag coalescing, and 51+ commits	PASS	UNDO=PASS; REDO=PASS
CC-AC-009	Versioned local persistence hydrates safely and resets on mismatch	04_INTERACTION_AND_STATE_CONTRACT.md	Round-trip valid payload; test schema/template/release mismatch, corrupt JSON, unknown IDs, duplicates, and storage errors	PASS	LOCAL_PERSISTENCE=PASS
CC-AC-010	PNG export contract uses native APIs, full content, safe metadata, and default 2× scale	06_PNG_EXPORT_CONTRACT.md	Test export SVG snapshot, bounds, scale option/default, safe filename/footer, error cleanup, and no UI chrome	PASS	PNG_EXPORT_CONTRACT=PASS; PNG_EXPORT_SCALE_DEFAULT=2
CC-AC-011	Keyboard operation, status semantics, and non-graphic equivalent are present	07_ACCESSIBILITY_CONTRACT.md	Test palette add, node select/move, connection select, toolbar disabled/busy state, live messages, and accessible-row coverage	PASS	ACCESSIBLE_ROW_CONTRACT=PASS; KEYBOARD_OPERATION_CONTRACT=PASS
CC-AC-012	No database, canonical release, raw candidate, or server write path is introduced	00_CONTEXT_CANVAS_FUNCTIONAL_DECISION.md; 01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md	Protected-boundary diff plus static scan for database clients, mutations, candidate tables, and serializers	PASS	DATABASE_FILES_CHANGED=0; CANONICAL_RELEASE_CHANGED=false
CC-AC-013	No graph, canvas, layout, or export dependency is added	00_CONTEXT_CANVAS_FUNCTIONAL_DECISION.md	Compare dependency manifests/lockfile and scan imports for prohibited libraries	PASS	NEW_GRAPH_LIBRARY_COUNT=0; NEW_CANVAS_LIBRARY_COUNT=0; NEW_EXPORT_LIBRARY_COUNT=0
CC-AC-014	Current TRACE, legacy v48, Search, and protected site surfaces remain unchanged	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md	Changed-file allowlist and existing regression commands	PASS	CURRENT_TRACE_ROUTE_CHANGED=0; LEGACY_TRACE_V48_CHANGED=0; SEARCH_FILES_CHANGED=0
CC-AC-015	Spacetime and Exploration Field implementation remain absent	00_CONTEXT_CANVAS_FUNCTIONAL_DECISION.md	Changed-file and import scan for map/time UI, geography registry, factor model, scoring, seed, lattice, or template additions	PASS	SPACETIME_IMPLEMENTATION_FILES_ADDED=0; EXPLORATION_IMPLEMENTATION_FILES_ADDED=0
CC-AC-016	Pure state/layout operations meet current workload target	05_LAYOUT_AND_CONNECTION_CONTRACT.md	Benchmark initialization, arrange, connection recompute, fit, and reducer at synthetic maximum; report aggregate P95	P95 < 5 ms	CONTEXT_CANVAS_P95_FUNCTION_MS=<number>
CC-AC-017	Functional verifier covers required pure modules without a new framework	00_CONTEXT_CANVAS_FUNCTIONAL_DECISION.md	Run node frontend/scripts/verify-context-canvas-v49.mjs and inspect named checks	PASS	CONTEXT_CANVAS_TESTS=PASS
CC-AC-018	Typecheck, preprogram, Search, API/read-platform, and production build regressions pass	00_CONTEXT_CANVAS_FUNCTIONAL_DECISION.md	Run prescribed repository verification commands without localhost/browser preview	PASS	TYPECHECK=PASS; TRACE_PREPROGRAM_REGRESSION=PASS; SEARCH_REGRESSION=PASS; API_TESTS=PASS; PRODUCTION_BUILD=PASS
CC-AC-019	No localhost or browser capture is run	06_PNG_EXPORT_CONTRACT.md; 07_ACCESSIBILITY_CONTRACT.md	Audit command log for next dev, npm run dev, browser automation, and screenshots	NOT_RUN_BY_REQUEST	LOCALHOST_PREVIEW=NOT_RUN_BY_REQUEST; BROWSER_VISUAL_ACCEPTANCE=USER_REVIEW_PENDING
