grant_key	principal	principal_kind	record_kind	object_kind	object_schema	object_identity	privilege_or_attribute	expected_effective	actual_effective	actual_direct	grantor	is_grantable	effective_via	default_acl_owner	default_acl_schema	test_id	replay_match	status
PUBLIC|DEFAULT_ACL|\\N|FUTURE_TYPE|USAGE	PUBLIC	PUBLIC	DEFAULT_ACL	TYPE	\N	FUTURE_TYPE	USAGE	false	false	false	\N	false	NONE	gda_v49_phase2a_schema_owner	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_object|DELETE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_object	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_object|INSERT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_object	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_object|REFERENCES	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_object	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_object|SELECT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_object	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_object|TRIGGER	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_object	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_object|TRUNCATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_object	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_object|UPDATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_object	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_version_status|DELETE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_version_status	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_version_status|INSERT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_version_status	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_version_status|REFERENCES	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_version_status	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_version_status|SELECT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_version_status	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_version_status|TRIGGER	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_version_status	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_version_status|TRUNCATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_version_status	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|current_version_status|UPDATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	current_version_status	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|research_release_descriptor|DELETE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	research_release_descriptor	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|research_release_descriptor|INSERT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	research_release_descriptor	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|research_release_descriptor|REFERENCES	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	research_release_descriptor	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|research_release_descriptor|SELECT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	research_release_descriptor	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|research_release_descriptor|TRIGGER	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	research_release_descriptor	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|research_release_descriptor|TRUNCATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	research_release_descriptor	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|api_v1|research_release_descriptor|UPDATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	api_v1	research_release_descriptor	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assertion_review|DELETE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assertion_review	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assertion_review|INSERT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assertion_review	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assertion_review|REFERENCES	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assertion_review	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assertion_review|SELECT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assertion_review	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assertion_review|TRIGGER	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assertion_review	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assertion_review|TRUNCATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assertion_review	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assertion_review|UPDATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assertion_review	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assignment_review|DELETE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assignment_review	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assignment_review|INSERT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assignment_review	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assignment_review|REFERENCES	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assignment_review	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assignment_review|SELECT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assignment_review	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assignment_review|TRIGGER	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assignment_review	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assignment_review|TRUNCATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assignment_review	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_assignment_review|UPDATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_assignment_review	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_attribution_validation|DELETE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_attribution_validation	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_attribution_validation|INSERT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_attribution_validation	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_attribution_validation|REFERENCES	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_attribution_validation	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_attribution_validation|SELECT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_attribution_validation	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_attribution_validation|TRIGGER	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_attribution_validation	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_attribution_validation|TRUNCATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_attribution_validation	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_attribution_validation|UPDATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_attribution_validation	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_claim_review|DELETE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_claim_review	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_claim_review|INSERT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_claim_review	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_claim_review|REFERENCES	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_claim_review	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_claim_review|SELECT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_claim_review	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_claim_review|TRIGGER	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_claim_review	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_claim_review|TRUNCATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_claim_review	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_claim_review|UPDATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_claim_review	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_delivery_assessment|DELETE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_delivery_assessment	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_delivery_assessment|INSERT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_delivery_assessment	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_delivery_assessment|REFERENCES	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_delivery_assessment	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_delivery_assessment|SELECT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_delivery_assessment	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_delivery_assessment|TRIGGER	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_delivery_assessment	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_delivery_assessment|TRUNCATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_delivery_assessment	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_delivery_assessment|UPDATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_delivery_assessment	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_inventory|DELETE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	audit	decision_event_inventory	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_inventory|INSERT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	audit	decision_event_inventory	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_inventory|REFERENCES	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	audit	decision_event_inventory	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_inventory|SELECT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	audit	decision_event_inventory	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_inventory|TRIGGER	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	audit	decision_event_inventory	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_inventory|TRUNCATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	audit	decision_event_inventory	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_inventory|UPDATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	VIEW	audit	decision_event_inventory	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_policy_evaluation|DELETE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_policy_evaluation	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_policy_evaluation|INSERT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_policy_evaluation	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_policy_evaluation|REFERENCES	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_policy_evaluation	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_policy_evaluation|SELECT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_policy_evaluation	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_policy_evaluation|TRIGGER	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_policy_evaluation	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_policy_evaluation|TRUNCATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_policy_evaluation	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_policy_evaluation|UPDATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_policy_evaluation	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_relation_review|DELETE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_relation_review	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_relation_review|INSERT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_relation_review	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_relation_review|REFERENCES	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_relation_review	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_relation_review|SELECT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_relation_review	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_relation_review|TRIGGER	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_relation_review	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_relation_review|TRUNCATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_relation_review	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_relation_review|UPDATE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_relation_review	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_rights_assessment|DELETE	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_rights_assessment	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_rights_assessment|INSERT	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_rights_assessment	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|RELATION_PRIVILEGE|audit|decision_event_rights_assessment|REFERENCES	PUBLIC	PUBLIC	RELATION_PRIVILEGE	TABLE	audit	decision_event_rights_assessment	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
