surface_id	record_selector	top_level_fields_json	record_fields_json	contract_sha256
SURF-R13-005	json:file	"[""active"",""canonicalHash"",""feedsRealImageCompiler"",""inquiryGrammarCandidates"",""nodeActivationCandidates"",""packageId"",""pairCompositionCandidates"",""requiresExternalHumanReview"",""requiresSeparateActivationDecision"",""sourceCommit"",""sourceRound"",""structuralAnnotationCandidates"",""version""]"	[]	69e8ca0ea0a5bfab28548458b51467674d53db4b660f4e513b30a079469f0472
SURF-R13-006	tsv_rows	[]	"[""review_unit_id"",""review_unit_type"",""subject_id"",""plain_language_definition"",""source_ids"",""evidence_ids"",""bounded_context"",""role_structure"",""directionality"",""qualification"",""contestation"",""current_system_decision"",""alternative_decisions"",""reviewer_questions"",""reviewer_answer_status""]"	1f3dad658ba79de302ae14d6dd210700b49a3ab26c38e50b3cea10d3561c2f66
SURF-R14-001	json:assessments	"[""assessments"",""canonicalHash"",""evidenceStatusVocabulary"",""methodVersion"",""packageId"",""pythonNormative"",""selectedThresholds"",""taxonomy"",""typescriptMirrorMode"",""version""]"	"[""activeForProximity"",""archiveSourceRefs"",""assessmentId"",""associationStrength"",""calibrationStratum"",""contextScope"",""cooccurrenceOnly"",""decisionReason"",""directNeighbourPass"",""evidenceConfidence"",""evidenceStatus"",""externalSourceRefs"",""hardNegative"",""historicalScope"",""methodVersion"",""nodeA"",""nodeB"",""primaryGenericType"",""qualification"",""redirectTargets"",""rubricDimensions"",""secondaryGenericType"",""skipOnePass""]"	6df6daf292cb02460d106c8f36e0af766ebe24238a302e28c294a9547bd3699d
SURF-R14-002	tsv_rows	[]	"[""evidence_id"",""assessment_id"",""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""source_family"",""domain_alignment"",""support_role"",""association_context"",""source_metadata_verified"",""evidence_verified"",""upstream_evidence_ref""]"	4fae91debe4e7eabd6729e7ef8fe0a81545d0fd6e0a1528643d7758371b2ae75
SURF-R14-003	json:fixtures	"[""fixturePackageId"",""fixtures"",""productionEligible"",""syntheticLayoutOnly""]"	"[""evidenceGapNodeIds"",""expectedResult"",""fixtureId"",""navigationReturn"",""nodes"",""pairBindings"",""semanticEdges"",""strategy"",""syntheticLayoutOnly""]"	996c402ba38cdd8907ee0594f7489707a5bb1892385c073ca2a868e7032227d1
SURF-R14-004	tsv_rows	[]	"[""fixture_id"",""strategy"",""node_count"",""direct_pair_count"",""skip_one_pair_count"",""failed_direct_pairs"",""failed_skip_one_pairs"",""expected_result"",""actual_result"",""pruned_nodes"",""pruned_branch_count"",""component_count"",""components"",""all_to_all_required"",""production_eligible"",""status""]"	12727f925629caf77c3136fe46b577cb700714f9241b3fe039d1d4549a38b314
SURF-R15-001	json:fixtures	"[""canonicalHash"",""fixtures"",""methodVersion"",""packageId"",""sourceSha"",""version""]"	"[""associationIds"",""description"",""evidenceGapNodeIds"",""fixtureFamily"",""fixtureId"",""navigationReturn"",""nodeIds"",""qualificationGate"",""seedNodeIds"",""synthetic"",""topologyRequest"",""visualSeed""]"	cb98989d9173b5bb5d7c4c6256a01126256f928ffc84f1306c7dcbd75126a174
SURF-R15-002	json:images	"[""canonical_hash"",""images"",""method_version"",""package_id"",""python_normative"",""source_sha"",""typescript_mirror_mode"",""version""]"	"[""audit"",""composition_core"",""evidence_core"",""presentation_hash"",""presentation_hints"",""provenance"",""schema_version"",""semantic_core"",""semantic_core_hash""]"	8f14f89cdef1c71d984a3ed88da8f5eeed400cbf70d17b30f0d55dd66941e0bb
SURF-R16-001	json:compositions	"[""categories"",""categoryOrder"",""compositions"",""format""]"	"[""associationIds"",""categoryId"",""compositionId"",""description"",""entryEvidence"",""nodeIds"",""seedNodeIds"",""topologyRequest""]"	a9660f8d6063655e460e85bbec2e7eb725c9a969e9789822d59912df0af4460a
SURF-R16-002	tsv_rows	[]	"[""source_id"",""authors"",""year"",""title"",""venue"",""publisher"",""doi_or_identifier"",""stable_url"",""language"",""source_type"",""peer_reviewed"",""design_history_usage"",""supported_terms"",""scope_note"",""metadata_verified""]"	f9dd0664928e31cdeef4e8ba548d7bb0e94e7d5b5981ac17d663e5746567180d
SURF-R16A-001	json:candidates	"[""active_vocabulary_count"",""active_vocabulary_hash"",""candidate_count"",""candidates"",""database_snapshot"",""disposition_counts"",""disposition_policy"",""format"",""frozen"",""future_vocabulary_candidate_count"",""input_artifacts"",""output_hashes"",""scope_boundary"",""status"",""universe_hash"",""version"",""vocabulary_census_hash""]"	"[""academic_support"",""ambiguity_note"",""bounded_sense"",""canonical_label"",""category_binding_refs"",""category_ids"",""decision_reason"",""decision_refs"",""disposition"",""governed_source_paths"",""merge_target_label"",""merge_target_vocabulary_id"",""normalized_label"",""provenance_rounds"",""scope_note"",""source_attestations"",""status"",""vocabulary_candidate_id"",""vocabulary_id""]"	14c6fbe97a629a4534b3e560c9d289711da6f03e73bd5901bcc4697b3fab620e
SURF-R16A-002	tsv_rows	[]	"[""pair_id"",""vocabulary_id_a"",""vocabulary_id_b"",""label_a"",""label_b"",""canonical_pair_key"",""final_status"",""active"",""round14_assessment_id"",""method_version"",""association_strength"",""evidence_confidence"",""evidence_status"",""d1"",""d2"",""d3"",""d4"",""d5"",""d6"",""d7"",""cooccurrence_only"",""hard_negative"",""historical_scope"",""context_scope"",""qualification"",""decision_reason"",""accepted_evidence_refs"",""external_query_id"",""external_result_count"",""external_accepted_source_ids"",""external_rejected_source_ids"",""database_text_cooccurrence_used"",""database_metadata_relation_inferred"",""typed_relation_emitted"",""causal_relation_emitted"",""directional_relation_emitted""]"	f1480dd226fcf6517b010c86adf847906a59c841a01f02d8f3d71df99300c39a
SURF-R16A-003	tsv_rows	[]	"[""ledger_id"",""pair_id"",""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""review_disposition"",""rejection_reason"",""supports_active_edge"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	6383873a6c5c85d5bae9b757e3b6d138e296403de486d8ddaf4e9f5db1088ad7
SURF-R16A-004	json:edges	"[""database_snapshot"",""edges"",""frozen"",""graph_hash"",""method_version"",""nodes"",""schema_version"",""source_sha""]"	"[""association_id"",""confidence"",""d1"",""d5"",""d7"",""evidence_refs"",""label_a"",""label_b"",""qualification"",""round14_assessment_id"",""shared_category_ids"",""strength"",""support_status"",""vocabulary_id_a"",""vocabulary_id_b""]"	e614887c0ce93b1d5db03aa00877e1f45d7ce1403a1247da7596126ed783578b
SURF-R16A-005	json:parameters	"[""database_snapshot"",""frozen"",""parameter_count"",""parameter_universe_hash"",""parameters"",""schema_version""]"	"[""authority"",""changes_presentation_identity"",""changes_semantic_identity"",""class"",""default_value"",""finite_domain_proof"",""legal_values"",""parameter_name""]"	e65ee4ccfbcd70b7efb11d9b97be86ae100e8d775a157b6bb7f76a42ab1bb4d0
SURF-R16A-006	json:topology_compositions	"[""association_subgraphs"",""category_entries"",""database_snapshot"",""frozen"",""registry_hash"",""round15_adapter_records"",""round15_adapter_version"",""round16_legacy_reconciliation"",""schema_version"",""source_sha"",""topology_compositions""]"	"[""association_ids"",""association_subgraph_hash"",""association_subgraph_id"",""category_entries"",""category_ids"",""composition_id"",""edge_count"",""node_count"",""node_ids"",""seed_variants"",""topology_composition_hash"",""topology_family""]"	6b7bf7104a3909a5053723af5a67235fd6867b6787453f09130452b3dd9fb0d3
SURF-R16A-007	tsv_rows	[]	"[""rejection_id"",""association_subgraph_id"",""topology_family"",""decision"",""reason_code"",""explanation"",""round15_adapter_version""]"	67cdb807828140a0faf7a7340aec873363bc8fec52d25ae02153406a1ed3abb4
SURF-R16A-008	tsv_rows	[]	"[""workflow_id"",""composition_id"",""category_entry_id"",""seed_id"",""start_state_id"",""target_state_id"",""target_state_hash"",""target_semantic_hash"",""workflow_length"",""steps"",""replay_count"",""replay_pass_count"",""state_replay_mismatch_count"",""semantic_replay_mismatch_count""]"	4c6ef23722536990f4d7993b2c26938fff9e19e28a4a8fb5e2c638058905f179
SURF-R16A-009	tsv_rows	[]	"[""export_variant_id"",""state_id"",""state_hash"",""category_entry_id"",""composition_id"",""seed_id"",""export_preset"",""theme_token_set"",""width"",""height"",""semantic_hash"",""state_presentation_hash"",""export_presentation_hash"",""manifest_validated"",""png_rendered"",""png_validated"",""png_replay_match""]"	3d5b2fd254352373b6995b5535e739c18559ea836ce64b030bfb9a0dd7e492bd
SURF-R16A-010	jsonl_rows	[]	"[""accepted_source_ids"",""candidate_results"",""candidate_source_ids"",""capture_receipt_ref"",""channel"",""crossref_total_result_count"",""format"",""frozen_response_timestamp_utc"",""label_a"",""label_b"",""pair_id"",""pair_ordinal"",""pair_universe_hash"",""query"",""query_id"",""query_protocol"",""raw_response_ref"",""raw_response_sha256"",""rejected_source_ids"",""rejection_reasons"",""result_count"",""result_review_status"",""timestamp"",""timestamp_source"",""version"",""vocabulary_id_a"",""vocabulary_id_b""]"	652d2d9d025434cdd178b4d04d897f417b5c9a7bf227d15e517ef9f33bb95c2a
SURF-DB-001	file	[]	[]	21246ebfac8ddbde3e1d1a6785d2060445abb101dc30263a856bbc742bdd9aae
