cluster_key,priority_rank,packet_layer,recommended_first_action,blocking_issue,safe_for_sandbox_packet_trial,packet_scale,packet_readiness,packet_confidence,packet_relation_lane,region,theme,source_family,five_year_bucket,actual_year_span,global_scope_policy,cluster_size,role_rows,anchor_candidate_count,sub_candidate_count,card_candidate_count,appendix_candidate_count,text_deficit_count,minimum_text_pages,editorial_page_requirement,cover_main_requirement,normal_main_policy,folder_directory_mode,reason
Global / transnational|Modern typography and layout|Wikimedia Commons|1970-1974,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1970-1974,1970-1974,global_host_requires_scope_review,673,673,42,355,250,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=355; card_candidates=250; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Algeria|Modern typography and layout|Wikimedia Commons|1940-1944,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Algeria,Modern typography and layout,Wikimedia Commons,1940-1944,1940-1944,region_specific_or_not_global,95,95,0,1,94,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=94; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Nigeria|Modern typography and layout|Wikimedia Commons|1955-1959,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Nigeria,Modern typography and layout,Wikimedia Commons,1955-1959,1955-1959,region_specific_or_not_global,95,95,0,70,17,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=70; card_candidates=17; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|2005-2009,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Indonesia,Modern typography and layout,Wikimedia Commons,2005-2009,2005-2009,region_specific_or_not_global,94,94,0,3,91,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=3; card_candidates=91; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1985-1989,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1985-1989,1985-1989,global_host_requires_scope_review,87,87,0,84,2,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=84; card_candidates=2; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Bolivia|Modern typography and layout|Wikimedia Commons|1935-1939,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Bolivia,Modern typography and layout,Wikimedia Commons,1935-1939,1935-1939,region_specific_or_not_global,78,78,0,0,78,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=78; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1990-1994,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1990-1994,1990-1994,global_host_requires_scope_review,72,72,0,69,1,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=69; card_candidates=1; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Peru|Modern typography and layout|Wikimedia Commons|1935-1939,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Peru,Modern typography and layout,Wikimedia Commons,1935-1939,1935-1938,region_specific_or_not_global,71,71,0,0,71,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=71; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1945-1949,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1945-1949,1945-1949,global_host_requires_scope_review,65,65,6,45,10,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=45; card_candidates=10; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1925-1929,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1925-1929,1925-1929,global_host_requires_scope_review,64,64,0,34,8,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=34; card_candidates=8; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Iran|Modern typography and layout|Wikimedia Commons|1970-1974,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Iran,Modern typography and layout,Wikimedia Commons,1970-1974,1970-1974,region_specific_or_not_global,64,64,5,44,2,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=44; card_candidates=2; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|1990-1994,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Indonesia,Modern typography and layout,Wikimedia Commons,1990-1994,1990-1994,region_specific_or_not_global,63,63,0,5,58,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=5; card_candidates=58; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1920-1924,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1920-1924,1920-1924,global_host_requires_scope_review,61,61,4,36,7,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=36; card_candidates=7; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1910-1914,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1910-1914,1910-1914,global_host_requires_scope_review,60,60,2,19,30,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=19; card_candidates=30; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|1945-1949,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Indonesia,Modern typography and layout,Wikimedia Commons,1945-1949,1945-1949,region_specific_or_not_global,59,59,2,2,55,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=2; card_candidates=55; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
India|Modern typography and layout|Wikimedia Commons|1945-1949,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,India,Modern typography and layout,Wikimedia Commons,1945-1949,1945-1949,region_specific_or_not_global,58,58,2,18,36,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=18; card_candidates=36; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Algeria|Modern typography and layout|Wikimedia Commons|1935-1939,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Algeria,Modern typography and layout,Wikimedia Commons,1935-1939,1936-1939,region_specific_or_not_global,56,56,0,0,56,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=56; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1960-1964,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1960-1964,1960-1964,global_host_requires_scope_review,56,56,4,27,19,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=27; card_candidates=19; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Seychelles|Modern typography and layout|Wikimedia Commons|1830-1834,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Seychelles,Modern typography and layout,Wikimedia Commons,1830-1834,1830-1830,region_specific_or_not_global,52,52,8,44,0,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=44; card_candidates=0; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Kazakhstan|Modern typography and layout|Wikimedia Commons|1990-1994,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Kazakhstan,Modern typography and layout,Wikimedia Commons,1990-1994,1990-1994,region_specific_or_not_global,51,51,0,0,51,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=51; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Iraq|Modern typography and layout|Wikimedia Commons|2005-2009,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Iraq,Modern typography and layout,Wikimedia Commons,2005-2009,2005-2009,region_specific_or_not_global,50,50,0,1,48,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=48; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Malaysia|Modern typography and layout|Wikimedia Commons|1950-1954,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Malaysia,Modern typography and layout,Wikimedia Commons,1950-1954,1951-1953,region_specific_or_not_global,50,50,0,47,1,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=47; card_candidates=1; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1915-1919,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1915-1919,1915-1919,global_host_requires_scope_review,47,47,1,26,2,0,0,15,mandatory_editorial_page,cover_main_required,single_normal_main_expected,packet_tree_directory,scale=large; sub_candidates=26; card_candidates=2; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1955-1959,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1955-1959,1955-1959,global_host_requires_scope_review,40,40,3,30,6,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=30; card_candidates=6; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1980-1984,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1980-1984,1980-1984,global_host_requires_scope_review,40,40,2,35,2,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=35; card_candidates=2; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1885-1889,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1885-1889,1885-1889,global_host_requires_scope_review,33,33,2,2,26,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=2; card_candidates=26; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|World War and public-information graphics|Wikimedia Commons|1970-1974,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,World War and public-information graphics,Wikimedia Commons,1970-1974,1970-1974,global_host_requires_scope_review,29,29,16,12,0,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=12; card_candidates=0; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|World War and public-information graphics|Wikimedia Commons|1935-1939,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,medium,packet_parentage_review,Global / transnational,World War and public-information graphics,Wikimedia Commons,1935-1939,1935-1939,global_host_requires_scope_review,24,24,11,12,1,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=12; card_candidates=1; scope=global_host_requires_scope_review; lane=packet_parentage_review
Global / transnational|Modern typography and layout|Wikimedia Commons|1890-1894,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,medium,packet_parentage_review,Global / transnational,Modern typography and layout,Wikimedia Commons,1890-1894,1890-1894,global_host_requires_scope_review,23,23,0,9,13,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=9; card_candidates=13; scope=global_host_requires_scope_review; lane=packet_parentage_review
Global / transnational|World War and public-information graphics|Wikimedia Commons|1940-1944,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,high,strong_packet_candidate,Global / transnational,World War and public-information graphics,Wikimedia Commons,1940-1944,1940-1944,global_host_requires_scope_review,23,23,15,7,1,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=7; card_candidates=1; scope=global_host_requires_scope_review; lane=strong_packet_candidate
Cuba / transnational|Modern typography and layout|Wikimedia Commons|1895-1899,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,medium,packet_parentage_review,Cuba / transnational,Modern typography and layout,Wikimedia Commons,1895-1899,1895-1899,global_host_requires_scope_review,22,22,2,7,10,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=7; card_candidates=10; scope=global_host_requires_scope_review; lane=packet_parentage_review
Global / transnational|Modern typography and layout|Wikimedia Commons|1895-1899,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,high,strong_packet_candidate,Global / transnational,Modern typography and layout,Wikimedia Commons,1895-1899,1895-1899,global_host_requires_scope_review,21,21,5,11,5,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=11; card_candidates=5; scope=global_host_requires_scope_review; lane=strong_packet_candidate
Global / transnational|Modern typography and layout|Wikimedia Commons|2020-2024,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,medium,packet_parentage_review,Global / transnational,Modern typography and layout,Wikimedia Commons,2020-2024,2020-2024,global_host_requires_scope_review,19,19,0,17,2,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=17; card_candidates=2; scope=global_host_requires_scope_review; lane=packet_parentage_review
Global / transnational|Modern typography and layout|Wikimedia Commons|1900-1904,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,high,strong_packet_candidate,Global / transnational,Modern typography and layout,Wikimedia Commons,1900-1904,1900-1904,global_host_requires_scope_review,18,18,4,8,6,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=8; card_candidates=6; scope=global_host_requires_scope_review; lane=strong_packet_candidate
Global / transnational|Modern typography and layout|Wikimedia Commons|2005-2009,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,medium,packet_parentage_review,Global / transnational,Modern typography and layout,Wikimedia Commons,2005-2009,2005-2009,global_host_requires_scope_review,18,18,0,7,9,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=7; card_candidates=9; scope=global_host_requires_scope_review; lane=packet_parentage_review
