source_family,family_class,role_rows,cluster_rows,eligible_rows,eligible_cluster_rows,scope_candidate_but_blocked_clusters,packet_parentage_review_clusters,strong_high_clusters,primary_blocker,dominant_scope_reason,dominant_relation_blocker,dominant_role,dominant_readiness,tuning_status,tuning_signal,required_evidence,risk_controls,next_action
Smithsonian,museum_or_collection_api,8,9,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,low_cluster_confidence,packet_member_review,method_review_only,improve_design_object_and_cluster_confidence,collection_api_object_signal,"institution object id, collection/department, object type, date/place, maker, and source description",Do not convert museum/API siblings into sub sheets unless an anchor work or project relation is explicit.,separate design-object evidence from host/source-register evidence before packeting
Asian Film Archive,design_or_cultural_institution,7,5,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,weak_design_object_signal,packet_member_review,method_review_only,improve_design_object_and_cluster_confidence,editorial_project_or_event_signal,"project/studio/exhibition/event context, curatorial text, creator relation, date span, and repeated title/project markers","Do not make event photos, interviews, profiles, or thin posts into packet members without design-object evidence.",separate design-object evidence from host/source-register evidence before packeting
Design Reviewed,design_or_cultural_institution,6,3,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,weak_design_object_signal,packet_member_review,method_review_only,improve_design_object_and_cluster_confidence,editorial_project_or_event_signal,"project/studio/exhibition/event context, curatorial text, creator relation, date span, and repeated title/project markers","Do not make event photos, interviews, profiles, or thin posts into packet members without design-object evidence.",separate design-object evidence from host/source-register evidence before packeting
Princeton Figgy,library_archive_or_aggregator,6,10,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,weak_design_object_signal,packet_member_review,method_review_only,improve_design_object_and_cluster_confidence,library_archive_series_signal,"collection/series id, bibliographic hierarchy, source-side relation text, date/place, and object type",Do not infer packet parentage from library platform alone.,separate design-object evidence from host/source-register evidence before packeting
Art Institute of Chicago API,museum_or_collection_api,5,5,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,weak_design_object_signal,packet_member_review,method_review_only,improve_design_object_and_cluster_confidence,collection_api_object_signal,"institution object id, collection/department, object type, date/place, maker, and source description",Do not convert museum/API siblings into sub sheets unless an anchor work or project relation is explicit.,separate design-object evidence from host/source-register evidence before packeting
Cleveland Museum Open Access API,museum_or_collection_api,5,5,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,low_cluster_confidence,packet_member_review,method_review_only,improve_design_object_and_cluster_confidence,collection_api_object_signal,"institution object id, collection/department, object type, date/place, maker, and source description",Do not convert museum/API siblings into sub sheets unless an anchor work or project relation is explicit.,separate design-object evidence from host/source-register evidence before packeting
Los Angeles Public Library Tessa / CONTENTdm,library_archive_or_aggregator,5,4,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,low_cluster_confidence,packet_member_review,method_review_only,improve_design_object_and_cluster_confidence,collection_record_series_signal,"CONTENTdm collection name, object type, place/date metadata, and repeated source collection identifiers",Do not collapse same-platform records into packets unless collection/series membership is explicit.,separate design-object evidence from host/source-register evidence before packeting
Indian Memory Project,design_or_cultural_institution,4,3,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,low_cluster_confidence,provisional_main_anchor_needs_text,method_review_only,improve_design_object_and_cluster_confidence,editorial_project_or_event_signal,"project/studio/exhibition/event context, curatorial text, creator relation, date span, and repeated title/project markers","Do not make event photos, interviews, profiles, or thin posts into packet members without design-object evidence.",separate design-object evidence from host/source-register evidence before packeting
Barjeel Art Foundation,design_or_cultural_institution,3,2,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,low_cluster_confidence,manual_relation_review,method_review_only,improve_design_object_and_cluster_confidence,manual_source_family_signal,"source-specific record structure, explicit relation text, date/place, and object type",No automatic role upgrade until this family has a reviewed relation rule.,separate design-object evidence from host/source-register evidence before packeting
Desain Grafis Indonesia,design_or_cultural_institution,3,2,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,weak_design_object_signal,packet_member_review,method_review_only,improve_design_object_and_cluster_confidence,editorial_project_or_event_signal,"project/studio/exhibition/event context, curatorial text, creator relation, date span, and repeated title/project markers","Do not make event photos, interviews, profiles, or thin posts into packet members without design-object evidence.",separate design-object evidence from host/source-register evidence before packeting
V&A Collections API,other_non_commons,2,13,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,weak_design_object_signal,packet_member_review,method_review_only,improve_design_object_and_cluster_confidence,collection_api_object_signal,"institution object id, collection/department, object type, date/place, maker, and source description",Do not convert museum/API siblings into sub sheets unless an anchor work or project relation is explicit.,separate design-object evidence from host/source-register evidence before packeting
Auckland Libraries Heritage Collections / CONTENTdm,design_or_cultural_institution,1,7,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,weak_design_object_signal,packet_member_review,method_review_only,improve_design_object_and_cluster_confidence,collection_record_series_signal,"CONTENTdm collection name, object type, place/date metadata, and repeated source collection identifiers",Do not collapse same-platform records into packets unless collection/series membership is explicit.,separate design-object evidence from host/source-register evidence before packeting
Chinese Posters,design_or_cultural_institution,1,1,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,thin_source_depth,sub_under_packet_candidate,method_review_only,improve_design_object_and_cluster_confidence,manual_source_family_signal,"source-specific record structure, explicit relation text, date/place, and object type",No automatic role upgrade until this family has a reviewed relation rule.,separate design-object evidence from host/source-register evidence before packeting
SMU Libraries Digital Collections / CONTENTdm,library_archive_or_aggregator,1,3,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,non_design_drift_manual,packet_member_review,method_review_only,improve_design_object_and_cluster_confidence,collection_record_series_signal,"CONTENTdm collection name, object type, place/date metadata, and repeated source collection identifiers",Do not collapse same-platform records into packets unless collection/series membership is explicit.,separate design-object evidence from host/source-register evidence before packeting
Letterform Archive,design_or_cultural_institution,7,3,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,none,manual_relation_review,method_review_only,manual_source_family_review,editorial_project_or_event_signal,"project/studio/exhibition/event context, curatorial text, creator relation, date span, and repeated title/project markers","Do not make event photos, interviews, profiles, or thin posts into packet members without design-object evidence.",inspect sample rows before defining any family rule
African Digital Heritage,design_or_cultural_institution,3,2,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,none,manual_relation_review,method_review_only,manual_source_family_review,manual_source_family_signal,"source-specific record structure, explicit relation text, date/place, and object type",No automatic role upgrade until this family has a reviewed relation rule.,inspect sample rows before defining any family rule
GALA Queer Archive,design_or_cultural_institution,1,1,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,none,manual_relation_review,method_review_only,manual_source_family_review,editorial_project_or_event_signal,"project/studio/exhibition/event context, curatorial text, creator relation, date span, and repeated title/project markers","Do not make event photos, interviews, profiles, or thin posts into packet members without design-object evidence.",inspect sample rows before defining any family rule
