source_id,name,url,source_type,access_method,api_base_or_endpoint,iiif_support,oai_pmh_support,dataset_support,geo_coverage,historical_coverage,graphic_design_relevance,likely_record_types,rights_summary,rights_uri_support,metadata_quality_estimate,stable_identifiers,automated_ingestion,link_only_safer,priority,notes,last_verified_date,automation_status,rights_basis,record_level_rights_required,default_image_zone,preview_allowed,thumbnail_allowed,iiif_capable,api_key_required,protocol_sensitive
SRC018,Center for the Study of Political Graphics,https://www.politicalgraphics.org/collection,political poster archive,online catalog + manual,https://www.politicalgraphics.org/collection,unknown,unknown,unknown,global,20th c.-present,very high,poster records; images,Searchable records; catalog in progress; images rights-sensitive.,partial,Medium-high,yes,Partial,Yes for images,Launch,Political poster anchor.,2026-05-29,,,,,,,,,
SRC019,PANDORA / Australian Web Archive,https://pandora.nla.gov.au/,web archive,search interface,https://pandora.nla.gov.au/,unknown,unknown,unknown,Australia,online publications since 1996,high for web/networked design history,archived websites; online publications,"Use captured URLs/timestamps, not copied assets.",mixed,Medium,yes,No,Yes,Launch,Born-digital capture context.,2026-05-29,,,,,,,,,
SRC020,Art Institute of Chicago API,https://api.artic.edu/,museum collection,API,https://api.artic.edu/,unknown,unknown,unknown,global,broad,"high for posters, prints, publications",objects; publications; digital publications,API data may be protected; use cautiously.,partial,High,yes,Yes with caution,Yes,Launch,Good publication/object data but rights caution.,2026-05-29,,,,,,,,,
SRC021,Harvard Art Museums API,https://harvardartmuseums.org/collections/api,museum collection,API,https://harvardartmuseums.org/collections/api,unknown,unknown,unknown,global,broad,moderate-high,objects; people; exhibitions,Rights vary by object.,partial,High,yes,Yes,Yes,Launch,Useful museum-linked records.,2026-05-29,,,,,,,,,
SRC022,Cleveland Museum Open Access API,https://openaccess-api.clevelandart.org/,museum collection,API + datasets,https://openaccess-api.clevelandart.org/,unknown,unknown,unknown,global,broad,moderate,objects; images,Dataset and many images CC0; copyrighted works may still appear.,yes,High,yes,Yes,Mixed,Launch,Lower-risk open access testing.,2026-05-29,,,,,,,,,
SRC023,Gallica / BnF APIs,https://api.bnf.fr/,national library digital platform,SRU/API/IIIF/datasets,https://api.bnf.fr/,unknown,unknown,unknown,France,"books, periodicals, images, press",very high,documents; OCR; images; periodicals,Rights/access vary; rate limits.,mixed,High,yes,Yes,Mixed,Launch,French print and poster context.,2026-05-29,,,,,,,,,
SRC024,HathiTrust,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/,digital library,bibliographic API + data API + OAI + hathifiles,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/,unknown,unknown,unknown,partner libraries,books/serials,"high for periodicals, catalogues, specimens",bibliographic records; OCR; page images; OAI,Access varies; APIs are not search APIs.,mixed,Medium-high,yes,Partial,Often yes,Launch,Use bibliographic/OAI pathways.,2026-05-29,,,,,,,,,
SRC025,Internet Archive,https://archive.org/developers/,digital library / web archive,metadata API + search APIs + Wayback APIs,https://archive.org/developers/,unknown,unknown,unknown,global,broad,high but heterogeneous,items; files; metadata; captures,Rights vary widely by item and uploader.,mixed,Medium,partial,Partial,Yes,Launch,"Good discovery, high rights variability.",2026-05-29,,,,,,,,,
SRC026,NDL Search,https://ndlsearch.ndl.go.jp/en,national library aggregator,search interface + linked services,https://ndlsearch.ndl.go.jp/en,unknown,unknown,unknown,Japan,"books, newspapers, maps, websites","high for Japanese magazines, books, web sites",books; newspapers; maps; websites; online publications,Access varies by item and registration status.,mixed,High,yes,Partial,Yes,Launch,Important for Japan coverage.,2026-05-29,,,,,,,,,
SRC027,Type Archive,https://www.typearchive.org/,type and printing archive,manual,https://www.typearchive.org/,unknown,unknown,unknown,UK,typefounding and printing,very high,typefounding artifacts; specimens; archives,Archival collection; manual review needed.,unknown,Medium-high,yes,No,Yes,Launch,Type history source.,2026-05-29,,,,,,,,,
SRC028,St Bride Library / Foundation,https://sbf.org.uk/library/,printing and typographic library,manual + digital collections,https://sbf.org.uk/library/,unknown,unknown,unknown,UK,"history of print, typography, design",very high,books; serials; talks; archives,Digital rights vary.,unknown,High,yes,No,Yes,Launch,Major typography library.,2026-05-29,,,,,,,,,
SRC029,Fonts In Use,https://fontsinuse.com/,typography database,search interface,https://fontsinuse.com/,unknown,unknown,unknown,global,contemporary and historical uses,high,uses; typefaces; formats; topics,Rights mixed and example-specific.,mixed,Medium,yes,No,Yes,Launch,Type-in-use relation source.,2026-05-29,,,,,,,,,
SRC030,Library of Congress Web Archives,https://www.loc.gov/web-archives/collections/,web archive,search interface,https://www.loc.gov/web-archives/collections/,unknown,unknown,unknown,U.S.; global topics,born-digital,high for born-digital context,archived sites; collections,Link/citation first.,mixed,Medium,yes,No,Yes,Launch,Born-digital source.,2026-05-29,,,,,,,,,
SRC031,Archive-It,https://www.archive-it.org/,web archiving platform,Partner API + CDX/C + OAI,https://www.archive-it.org/,unknown,unknown,unknown,global partner archives,born-digital,high for design websites if partner-collected,collections; crawls; captures,Richer access partner-oriented; link/capture metadata safest.,mixed,Medium,partial,Partial,Yes,Launch,Web archive infrastructure.,2026-05-29,,,,,,,,,
SRC032,Asia Art Archive,https://aaa.org.hk/en/collections/search,regional art archive,search interface,https://aaa.org.hk/en/collections/search,unknown,unknown,unknown,Asia,recent art and publishing contexts,moderate-high,archival materials; library materials; projects,Manual review advised.,unknown,Medium,yes,No,Yes,Launch,Regional context beyond Euro-American canon.,2026-05-29,,,,,,,,,
SRC033,ONE Archives,https://one.usc.edu/,community archive,search interface,https://one.usc.edu/,unknown,unknown,unknown,U.S.; LGBTQ+,20th c.-present,"high for queer periodicals, posters, ephemera",archives; exhibitions; records,Rights vary; link-only safest without permission.,unknown,Medium,yes,No,Yes,Launch,Queer history source.,2026-05-29,,,,,,,,,
SRC034,SAADA,https://www.saada.org/explore/archive,community digital archive,search interface,https://www.saada.org/explore/archive,unknown,unknown,unknown,South Asian American,modern-contemporary,moderate-high for diasporic print and visual culture,archive items; topics; collections,Community-focused stewardship; manual review.,mixed,Medium,yes,No,Yes,Launch,Diasporic/community source.,2026-05-29,,,,,,,,,
SRC035,QZAP,https://gittings.qzap.org/,queer zine archive,search interface,https://gittings.qzap.org/,unknown,unknown,unknown,global/queer community,modern-contemporary,high for zine culture,zines; scans; metadata,"Volunteer archive; use citations and links, not bulk copies.",mixed,Medium,yes,No,Yes,Launch,Zine/counterpublic source.,2026-05-29,,,,,,,,,
SRC036,Poster Museum at Wilanow,https://www.postermuseum.pl/,poster museum,search interface,https://www.postermuseum.pl/,unknown,unknown,unknown,Poland,postwar-present,very high for Polish poster history,poster records; exhibition records,Rights vary; link-only safest.,unknown,Medium,yes,No,Yes,Launch,First-ingest source for Polish Poster School.,2026-05-30,manual_review,item_or_site_terms_required,yes,IMG00,no,no,unknown,false,false
SRC037,IBM History Design Program,https://www.ibm.com/history/design-program,corporate history archive,website,https://www.ibm.com/history/design-program,no,no,no,United States; global corporate,1956-present context,high for corporate design systems,institutional history; image/text page,Corporate content; link-only unless permission.,unknown,Medium,yes,No,Yes,Launch,Anchor for IBM corporate design program.,2026-05-30,manual_review,corporate_copyright,yes,IMG00,no,no,no,false,false
SRC038,M+ Collections and Archives,https://www.mplus.org.hk/en/collection/archives/,museum/archive,search interface,https://www.mplus.org.hk/en/collection/archives/,unknown,unknown,unknown,Hong Kong; Asia; global,modern-contemporary,high for Asian design and visual culture archives,archive records; ephemera; collection pages,Item-level copyright and access restrictions; link-only first.,partial,High,yes,No,Yes,Launch,WoDeCo and East Asia design network source.,2026-05-30,manual_review,item_level_copyright,yes,IMG00,no,no,unknown,false,false
SRC039,Nippon Design Center,https://www.ndc.co.jp/en/about/,design institution archive,website,https://www.ndc.co.jp/en/about/,no,no,no,Japan,1959-present,high for Japanese postwar design institution context,institutional history; designer/studio context,Copyrighted corporate/institutional content; link-only.,unknown,Medium,yes,No,Yes,Launch,Anchor for Japanese postwar design institution network.,2026-05-30,manual_review,institutional_copyright,yes,IMG00,no,no,no,false,false
SRC040,British Museum Collection,https://www.britishmuseum.org/collection,museum collection,search interface,https://www.britishmuseum.org/collection,unknown,unknown,unknown,UK; global,broad,"moderate-high for prints, posters, and Chinese visual culture",object records; images; collection data,Rights vary; use item-level terms.,partial,High,yes,Partial,Yes,Launch,Useful comparator for yuefenpai object records.,2026-05-30,manual_review,item_level_terms,yes,IMG00,unknown,unknown,unknown,false,false
SRC041,NLB Singapore OneSearch and BiblioAsia,https://reference.nlb.gov.sg/getting-started/onesearch/,national library/catalogue,search interface + articles,https://reference.nlb.gov.sg/getting-started/onesearch/,unknown,unknown,partial,Singapore,modern-contemporary,very high for multilingual public campaign and poster records,catalogue records; articles; collection notes,Catalogue presence does not imply image reuse permission.,unknown,High,yes,Partial,Yes,Launch,First-ingest source for Singapore multilingual poster/logotype records.,2026-05-30,manual_review,catalogue_rights_item_level,yes,IMG00,no,review,unknown,false,false
SRC042,Encyclopaedia Iranica,https://www.iranicaonline.org/,reference source,website,https://www.iranicaonline.org/,no,no,no,Iran; Persianate contexts,broad historical,high for Iranian graphic arts anchoring,reference articles; bibliographic context,Citation/source-link use; no image reuse assumption.,unknown,High,yes,No,Yes,Launch,Anchor for Iranian modern poster and graphic design context.,2026-05-30,manual_review,reference_copyright,yes,IMG00,no,no,no,false,false
SRC043,South African History Online,https://www.sahistory.org.za/,public history archive,website,https://www.sahistory.org.za/,unknown,unknown,unknown,South Africa; Southern Africa,modern-contemporary,high for Medu and anti-apartheid context,articles; archive context; images,Rights vary; link-only first.,unknown,Medium,yes,No,Yes,Launch,Context source for Medu/Culture and Resistance.,2026-05-30,manual_review,site_and_item_rights,yes,IMG00,no,no,unknown,false,false
SRC044,NAIDOC Poster Gallery,https://www.naidoc.org.au/posters/poster-gallery,community/government cultural poster gallery,website,https://www.naidoc.org.au/posters/poster-gallery,no,no,no,Aboriginal and Torres Strait Islander Australia,1972-present,very high for Indigenous poster history,poster records; artist/year entries,Copyright and ICIP/protocol considerations; link-only first.,unknown,Medium,yes,No,Yes,Launch,Protocol-sensitive source for NAIDOC poster cell.,2026-05-30,manual_review,copyright_plus_icip,yes,IMG00,no,no,no,false,true
SRC045,AIATSIS,https://aiatsis.gov.au/,Indigenous research/archive institution,search interface + guidance,https://aiatsis.gov.au/,unknown,unknown,unknown,Aboriginal and Torres Strait Islander Australia,broad,high for protocol-aware Indigenous visual culture records,catalogue records; guidance; collection context,ICIP and cultural protocols may exceed copyright.,unknown,High,yes,No,Yes,Launch,Use for protocol-sensitive metadata and review rules.,2026-05-30,manual_review,icip_protocol_required,yes,IMG00,no,no,unknown,false,true
SRC046,ACT UP Oral History Project,https://www.actuporalhistory.org/,community oral-history/archive project,website,https://www.actuporalhistory.org/,no,no,no,United States; transnational queer activism,1987-present context,high for ACT UP/Gran Fury context,oral histories; campaign context; source links,Community and copyright sensitivity; link-only first.,unknown,Medium,yes,No,Yes,Launch,Anchor for ACT UP/Gran Fury event and collective context.,2026-05-30,manual_review,community_copyright,yes,IMG00,no,no,no,false,false
SRC047,National Library of Medicine Digital Collections,https://collections.nlm.nih.gov/,national library digital collection,search interface,https://collections.nlm.nih.gov/,unknown,unknown,unknown,United States; public health,modern-contemporary,high for AIDS/public-health graphics context,posters; public-health records; metadata,Rights vary by item; link-only unless explicit.,mixed,High,yes,Partial,Yes,Launch,Complementary source for Gran Fury/AIDS graphics.,2026-05-30,manual_review,item_level_rights,yes,IMG00,unknown,unknown,unknown,false,false
SRC048,CERN first website,https://info.cern.ch/,web history source,website,https://info.cern.ch/,no,no,no,Global web,1991-present context,high for early web source-chain anchoring,web page; historical reconstruction; source link,Link/citation first; avoid local screenshots by default.,unknown,Medium,yes,No,Yes,Launch,Anchor for first website event.,2026-05-30,manual_review,web_page_rights,yes,IMG00,no,no,no,false,false
SRC049,W3C CSS Archive,https://www.w3.org/Style/CSS20/,web standards archive,website,https://www.w3.org/Style/CSS20/,no,no,no,Global web,1996-present context,high for interface/web standards history,standards pages; versioned recommendations,Link/citation first; standards terms apply.,unknown,High,yes,No,Yes,Launch,Anchor for CSS1 / standards event.,2026-05-30,manual_review,standards_site_terms,yes,IMG00,no,no,no,false,false
SRC050,Culture.pl,https://culture.pl/en,cultural-history publication,website,https://culture.pl/en,no,no,no,Poland,modern-contemporary,high for Polish poster context,essays; source context; maker names,Citation/link source; no image reuse assumption.,unknown,Medium,yes,No,Yes,Launch,Context source for Polish Poster School and Wilanow.,2026-05-30,manual_review,site_copyright,yes,IMG00,no,no,no,false,false
SRC051,Memoria Chilena,https://www.memoriachilena.gob.cl/,national library digital portal,search interface,https://www.memoriachilena.gob.cl/,unknown,unknown,unknown,Chile,modern,"high for Chilean posters, periodicals, and BRP context",thematic dossiers; digitized items; citations,Free access does not imply open image licensing.,unknown,High,yes,Partial,Yes,Launch,First-ingest source for BRP and Chilean graphics.,2026-05-30,manual_review,item_level_permission_required,yes,IMG00,no,no,unknown,false,false
SRC052,South African History Archive,https://www.saha.org.za/,community/archive poster collection,search interface,https://www.saha.org.za/,unknown,unknown,unknown,South Africa; Southern Africa,anti-apartheid and struggle history,very high for poster and movement media records,poster records; call numbers; collection inventories,Copyright often retained by archive/rights holders.,unknown,Medium,yes,No,Yes,Launch,First-ingest source for Medu and anti-apartheid poster records.,2026-05-30,manual_review,community_archive_copyright,yes,IMG00,no,no,unknown,false,false
SRC053,National Institute of Design,https://www.nid.edu/about/history-of-nid,design education institution,website,https://www.nid.edu/about/history-of-nid,no,no,no,India,1961-present,high for South Asian design education and development communication,institutional history; publications context,Institutional copyright; link-only first.,unknown,Medium,yes,No,Yes,Launch,Anchor for NID formation cell.,2026-05-30,manual_review,institutional_copyright,yes,IMG00,no,no,no,false,false
SRC054,Computer History Museum Timeline,https://www.computerhistory.org/timeline/1984/,technology history source,website,https://www.computerhistory.org/timeline/1984/,no,no,no,United States; global computing,1984 context,moderate for GUI/DTP transition anchoring,timeline record; reference page,Citation/link source; no image reuse assumption.,unknown,Medium,yes,No,Yes,Launch,Anchor for Macintosh near-digital event.,2026-05-30,manual_review,site_copyright,yes,IMG00,no,no,no,false,false
SRC055,Getty ULAN,https://www.getty.edu/research/tools/vocabularies/ulan/,authority vocabulary,website,https://www.getty.edu/vow/ULANServlet,no,no,partial,global,broad,high for designer and institution authority normalization,person authority records; institutional authority records,Use as authority metadata and citation source; no image display context.,yes,High,yes,Partial,Yes,Launch,First-ingest authority source for people and institutions.,2026-05-30,manual_review,authority_metadata_terms,no,IMG04,no,no,no,false,false
SRC056,Getty CONA,https://www.getty.edu/research/tools/vocabularies/cona/,authority vocabulary,website,https://www.getty.edu/cona/,no,no,partial,global,broad,high for work/object authority normalization,work authority records; component records; subject records,Use as authority metadata and citation source; object image reuse is not assumed.,yes,High,yes,Partial,Yes,Launch,First-ingest work authority source for complex object/component records.,2026-05-30,manual_review,authority_metadata_terms,yes,IMG00,no,no,no,false,false
SRC057,museum.or.jp,https://www.museum.or.jp/,museum event index,website,https://www.museum.or.jp/,no,no,no,Japan,modern-contemporary,moderate-high for exhibition and institutional event context,event pages; exhibition metadata,Citation/source-link use only; do not reuse page media without separate permission.,unknown,Medium,yes,No,Yes,Launch,First-ingest event source for Japanese postwar design context.,2026-05-30,manual_review,site_copyright,no,IMG04,no,no,no,false,false
SRC058,JAGDA,https://www.jagda.or.jp/,professional design association,website,https://www.jagda.or.jp/,no,no,no,Japan,1978-present,high for Japanese graphic design professionalization,institutional history; awards; member context,Institutional copyright; use citations and links only.,unknown,Medium,yes,No,Yes,Launch,First-ingest institutional source for Japanese graphic design infrastructure.,2026-05-30,manual_review,institutional_copyright,no,IMG04,no,no,no,false,false
SRC059,University of Hong Kong Libraries,https://digitalrepository.lib.hku.hk/,university digital repository,search interface,https://digitalrepository.lib.hku.hk/,unknown,unknown,unknown,Hong Kong; China,broad historical holdings,high for Chinese commercial print and yuefenpai records,digital repository records; posters; periodicals,Repository access does not imply image reuse permission; link-only first.,partial,High,yes,Partial,Yes,Launch,First-ingest source for Shanghai calendar poster and bilingual metadata tests.,2026-05-30,manual_review,item_level_rights,yes,IMG00,no,review,unknown,false,false
SRC060,National Archives of Singapore,https://www.nas.gov.sg/archivesonline/,national archive,search interface,https://www.nas.gov.sg/archivesonline/,unknown,unknown,unknown,Singapore,modern-contemporary,very high for multilingual public signs campaigns and government records,photograph records; government records; viewer pages,Viewing access and reproduction permission are separate; no local copy by default.,partial,High,yes,Partial,Yes,Launch,First-ingest source for Singapore multilingual sign and government design records.,2026-05-30,manual_review,access_vs_reproduction_terms,yes,IMG02,no,review,unknown,false,false
SRC061,ICOD,https://www.theicod.org/,professional design organization,website,https://www.theicod.org/,no,no,no,global,modern-contemporary,high for international graphic design organization and award context,news archive; authority/event pages,Use as citation/source-link authority context; do not reuse page media by default.,unknown,Medium,yes,No,Yes,Launch,First-ingest source for Icograda/ICOD authority and event records.,2026-05-30,manual_review,site_copyright,no,IMG04,no,no,no,false,false
SRC062,NYPL Digital Collections,https://digitalcollections.nypl.org/,library digital collection,search interface,https://digitalcollections.nypl.org/,unknown,unknown,unknown,United States; global holdings,broad,very high for community archive and poster collection records,item records; collection records; archival metadata,Rights vary by item and collection; use stable citation links and keep images suppressed unless explicitly reviewed.,partial,High,yes,Partial,Yes,Launch,First-ingest source for Gran Fury collection and item-level records.,2026-05-30,manual_review,item_level_rights,yes,IMG00,no,review,unknown,false,false
SRC063,Biblioteca Nacional Digital de Chile,https://www.bibliotecanacionaldigital.gob.cl/,national library digital portal,search interface + OAI,https://www.bibliotecanacionaldigital.gob.cl/,unknown,partial,partial,Chile,modern-contemporary,very high for Chilean posters political print and photographic records,poster records; photographs; periodicals; OAI records,Access and reproduction terms vary by item; link-only and metadata-first by default.,partial,High,yes,Partial,Yes,Launch,Verified remediation source for Brigadas Ramona Parra and Archivo de la Grafica Chilena records.,2026-05-30,manual_review,item_level_rights_and_access_terms,yes,IMG00,no,review,unknown,false,false
SRC064,NDL Search,https://ndlsearch.ndl.go.jp/,national library catalogue,search interface + linked services,https://ndlsearch.ndl.go.jp/,unknown,unknown,partial,Japan,broad,high for Japanese bibliographic event and publication records,bibliographic records; authority links; digital collection links,Public bibliographic metadata is usable with citation; digital content access/reuse varies by item.,yes,High,yes,Partial,Yes,Launch,Verified remediation source for World Design Conference bibliographic records.,2026-05-30,manual_review,bibliographic_metadata_plus_item_access_terms,yes,IMG04,no,no,unknown,false,false
SRC065,Seoul Museum of Art,https://sema.seoul.go.kr/,museum collection,search interface,https://sema.seoul.go.kr/,unknown,unknown,unknown,Korea,modern-contemporary,high for Minjung art collection and Korean modern visual culture,collection object records; art archive records,Object pages expose metadata and images; image reuse permission is not assumed.,partial,High,yes,Partial,Yes,Launch,Verified remediation source for Hong Sung Dam / Minjung collection object records.,2026-05-30,manual_review,item_level_rights,yes,IMG00,no,review,unknown,false,false
SRC066,National Library Board Singapore,https://www.nlb.gov.sg/,national library/reference source,website + search,https://www.nlb.gov.sg/,unknown,unknown,partial,Singapore,modern-contemporary,high for Singapore multilingual signage campaign and cultural context,reference articles; collection guides; source links,Citation/source-link use; images and page media require separate review.,unknown,High,yes,Partial,Yes,Launch,Verified remediation source for Tamil Road Signs and Singapore public-information context.,2026-05-30,manual_review,site_and_item_rights,yes,IMG04,no,no,unknown,false,false
SRC130,Princeton University Library Digital Collections / Figgy,https://figgy.princeton.edu/,university library digital collection,Blacklight JSON + IIIF manifests,https://figgy.princeton.edu/catalog.json,yes,unknown,partial,United States; global holdings,1830-present,high for posters broadsides advertising print and scanned ephemera,scanned resources; manifests; posters; broadsides; ephemera,Manifest license and source page must be evaluated item by item; IIIF is treated as source-hosted display unless license is explicitly open.,yes,High,yes,Yes,Mixed,Launch,Added as protocol-family university source for image-ready expansion.,2026-05-31,automated_probe,item_level_manifest_license,yes,IMG02,no,yes,yes,false,false
SRC131,Georgia State University Library Digital Collections / CONTENTdm,https://digitalcollections.library.gsu.edu/,university library digital collection,CONTENTdm JSON API + IIIF imageUri,https://digitalcollections.library.gsu.edu/digital/api/,yes,unknown,partial,United States; Georgia; Atlanta,modern-contemporary,high for local labor civil-rights theatre newspaper and urban print culture,item records; compound objects; newspapers; posters; flyers; programs,CONTENTdm local rights statements govern each item; source-hosted IIIF imageUri does not imply open reuse.,yes,Medium,yes,Partial,Mixed,Launch,Added as local university CONTENTdm source for image-ready expansion.,2026-05-31,automated_probe,item_level_local_rights,yes,IMG02,no,yes,yes,false,false
