vocabulary_candidate_id	vocabulary_id	canonical_label	normalized_label	disposition	status	merge_target_label	merge_target_vocabulary_id	category_ids_json	category_binding_refs_json	bounded_sense	scope_note	ambiguity_note	source_attestations_json	academic_support_json	decision_reason	decision_refs_json	provenance_rounds_json	governed_source_paths_json	universe_hash
R16A-VOCAB-CAND:06172600909c7d437e0bc3644f31a0b7d4096212295971e1031bba8fdd4c9cb5		collective production	collective production	RESEARCH_ONLY	GOVERNED_RESEARCH_ONLY			[]	[]				[]	[]	Round 9 DEFER_SINGLE_ATTESTATION: One peer-reviewed contextual introduction attests the English phrase; the original term is unverified.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0021""]"	"[""ROUND9""]"	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:41248ebca5a2d0403fb8ae45ce2afdb7f25213db20223ea8a60dc22c77a92fe5		coloniality	coloniality	RESEARCH_ONLY	GOVERNED_RESEARCH_ONLY			[]	[]				[]	[]	Round 13 STRUCTURAL_ANNOTATION_CANDIDATE: Design and architectural histories support a source-bounded continuing condition, while adversarial scholarship rejects a uniform unitary model.	"[""docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv#GAP-006:coloniality""]"	"[""ROUND13""]"	"[""docs/research/trace-v49-design-history-relation-grammar-round1/02_ROUND9_INPUT_TERM_REGISTRY.tsv"",""docs/research/trace-v49-design-history-relation-grammar-round1/04_NODE_DERIVATION_REGISTRY.tsv"",""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv"",""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv"",""docs/research/trace-v49-exploration-composition-review-round1/06_VOCABULARY_GAP_EVIDENCE.tsv"",""docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv"",""docs/research/trace-v49-exploration-composition-review-round1/14_ACTIVATION_CANDIDATE_PACKAGE.json"",""docs/research/trace-v49-exploration-inquiry-flow-round1/02_RESEARCH_CANDIDATE_FREEZE.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	commodification	commodification	ACTIVE	ACTIVE_USER_VISIBLE			"[""region""]"	"[""R16-COMP-REGION-03""]"	In design-history scholarship, commodification is used to describe design and institutions turning nature, craft, identity, or cultural material into marketable value.	In scope: historical transformation into marketable value. Out of scope: all exchange or all production.	Do not expand beyond the governed scope-out. Confusable terms: appropriation; professionalization.	"[""R14-EVID-016-01"",""R14-EVID-016-02""]"	"[""COMP-SRC-004"",""COMP-SRC-005""]"	Round 16 records the term as ACTIVE_USER_VISIBLE with a complete academic provenance chain.	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv#TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3""]"	"[""ROUND16""]"	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv"",""docs/research/trace-v49-design-history-relation-grammar-round1/02_ROUND9_INPUT_TERM_REGISTRY.tsv"",""docs/research/trace-v49-design-history-relation-grammar-round1/04_NODE_DERIVATION_REGISTRY.tsv"",""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv"",""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv"",""docs/research/trace-v49-exploration-inquiry-flow-round1/02_RESEARCH_CANDIDATE_FREEZE.json"",""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	consumer culture	consumer culture	ACTIVE	ACTIVE_USER_VISIBLE			"[""theme""]"	"[""R16-COMP-THEME-03""]"	In the governed Round 16 sources, consumer culture is bounded as follows: Historical study explicitly situating graphic design and advertising in consumer culture; vocabulary support only.	Historical study explicitly situating graphic design and advertising in consumer culture; vocabulary support only.	Supported by archive/source evidence. Independent scholarly validation pending.	"[""R16-SRC-004:attestation:consumer-culture""]"	"[""R16-SRC-004""]"	Round 16 records the term as ACTIVE_USER_VISIBLE with a complete academic provenance chain.	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv#TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829""]"	"[""ROUND16""]"	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv"",""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json"",""scripts/trace-v49-exploration-real-database/scholarly-source-additions-v1.tsv""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	consumption	consumption	ACTIVE	ACTIVE_USER_VISIBLE			"[""theme""]"	"[""R16-COMP-THEME-02""]"	In governed Round 14 design-history evidence, consumption is used on this bounded basis: Independent sources explicitly locate designed mediation within consumption and reception.; The sources explicitly frame designed channels and devices between production and consumption.. Spatial association does not assert a single linear market mechanism.; The association does not make consumers passive endpoints.	Spatial association does not assert a single linear market mechanism. The association does not make consumers passive endpoints.	Spatial association does not assert a single linear market mechanism. The association does not make consumers passive endpoints.	"[""R14-EVID-003-01"",""R14-EVID-003-03"",""R14-EVID-004-01"",""R14-EVID-004-02"",""R14-EVID-004-03""]"	"[""COMP-SRC-009"",""COMP-SRC-010""]"	Round 16 records the term as ACTIVE_USER_VISIBLE with a complete academic provenance chain.	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv#TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8""]"	"[""ROUND16""]"	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv"",""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	craft	craft	ACTIVE	ACTIVE_USER_VISIBLE			"[""movement""]"	"[""R16-COMP-MOVEMENT-01""]"	In the governed Round 16 sources, craft is bounded as follows: Historical analysis of Bauhaus arts-crafts integration and design education; vocabulary support only.	Historical analysis of Bauhaus arts-crafts integration and design education; vocabulary support only.	Supported by archive/source evidence. Independent scholarly validation pending.	"[""R14-EVID-020-01""]"	"[""R16-SRC-005""]"	Round 16 records the term as ACTIVE_USER_VISIBLE with a complete academic provenance chain.	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv#TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737""]"	"[""ROUND16""]"	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv"",""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json"",""scripts/trace-v49-exploration-real-database/scholarly-source-additions-v1.tsv""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:3e66e742ae474f988ccd20b14942011c0739bddc09b41a165b3d79b0edcbb313		creative appropriation	creative appropriation	RESEARCH_ONLY	GOVERNED_RESEARCH_ONLY			[]	[]				[]	[]	Round 9 DEFER_SINGLE_ATTESTATION: The exact modified phrase occurs in one independent work.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0017""]"	"[""ROUND9""]"	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:a8e665a7dfd909ff113127d139edfe4fd9d06e219735d7295dc64c3153eebeb6		cultural adaptation	cultural adaptation	MERGED_SUPERSEDED	SUPERSEDED_BY_ACTIVE_CANONICAL_LABEL	adaptation	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	[]	[]				[]	[]	Round 16A reconciles the bounded phrase cultural adaptation into the already-active canonical label adaptation; its distinct source evidence remains provenance, not a second user-visible label.	"[""docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv#GAP-002:cultural adaptation""]"	"[""ROUND13"",""ROUND16A""]"	"[""docs/research/trace-v49-exploration-composition-review-round1/06_VOCABULARY_GAP_EVIDENCE.tsv"",""docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv"",""docs/research/trace-v49-exploration-composition-review-round1/14_ACTIVATION_CANDIDATE_PACKAGE.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:2991638a7db1b7915c777c8c2afec43d72efcaa3515f309857487fd1663b7403		cultural diplomacy	cultural diplomacy	RESEARCH_ONLY	GOVERNED_RESEARCH_ONLY			[]	[]				[]	[]	Round 9 DEFER_SEMANTIC_AMBIGUITY: Two sources attest the phrase but explicitly question its precision and actor boundary.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0030""]"	"[""ROUND9""]"	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:923fdeeff375113cecc3fadb9e94375cd75e31cfbdf882a34d29efd4afb91e76		cultural mobility	cultural mobility	RESEARCH_ONLY	GOVERNED_RESEARCH_ONLY			[]	[]				[]	[]	Round 10 DEFER_SPLIT_REQUIRED: The manifesto deliberately spans colonization, exile, emigration, wandering, contamination, and random events; a single relation role would become universal.	"[""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv#REL-CAND-0024#SENSE-A""]"	"[""ROUND10""]"	"[""docs/research/trace-v49-design-history-relation-grammar-round1/02_ROUND9_INPUT_TERM_REGISTRY.tsv"",""docs/research/trace-v49-design-history-relation-grammar-round1/04_NODE_DERIVATION_REGISTRY.tsv"",""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv"",""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv"",""docs/research/trace-v49-exploration-inquiry-flow-round1/02_RESEARCH_CANDIDATE_FREEZE.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	cultural negotiation	cultural negotiation	ACTIVE	ACTIVE_USER_VISIBLE			"[""region""]"	"[""R16-COMP-REGION-01""]"	In governed design-history evidence, cultural negotiation denotes negotiation. Use requires Keraton Surakarta case; actual actors and unequal power required; specific encounter, actors, and power relation.	The phrases are not synonyms or universal connectors: transfer requires source, content, route, receiver, and receiving agency; negotiation requires actual unequal counterparts; adaptation requires source, adapter, and changed artifact; transformation requires named T0/T1 states, forces, period, and material evidence.	Negotiation does not imply voluntary, equal, or fully reciprocal participation. Negotiation must not imply voluntary or equal participation.	"[""COMP-EVID-014"",""COMP-EVID-015""]"	"[""COMP-SRC-013"",""COMP-SRC-014""]"	Round 16 records the term as ACTIVE_USER_VISIBLE with a complete academic provenance chain.	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv#TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed""]"	"[""ROUND16""]"	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv"",""docs/research/trace-v49-exploration-composition-review-round1/06_VOCABULARY_GAP_EVIDENCE.tsv"",""docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv"",""docs/research/trace-v49-exploration-composition-review-round1/14_ACTIVATION_CANDIDATE_PACKAGE.json"",""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:c76c09a3f32430db9b00d1c47eaf288d54331355f666dfcb11e4f4ef3a965212	TRV:c76c09a3f32430db9b00d1c47eaf288d54331355f666dfcb11e4f4ef3a965212	cultural transfer	cultural transfer	ACTIVE	ACTIVE_USER_VISIBLE			"[""region"",""theme"",""medium""]"	"[""COMP-EVID-012"",""COMP-EVID-013""]"	In governed design-history evidence, cultural transfer denotes contested transfer; transfer. Use requires early-modern print mobility; named content, route, receiving context, reception, and receiving agency.	The phrases are not synonyms or universal connectors: transfer requires source, content, route, receiver, and receiving agency; negotiation requires actual unequal counterparts; adaptation requires source, adapter, and changed artifact; transformation requires named T0/T1 states, forces, period, and material evidence.	The criticized donor model is not the case finding and cannot erase receiving agency. Transfer does not guarantee unchanged reception.	"[""COMP-EVID-012"",""COMP-EVID-013""]"	"[""COMP-SRC-011"",""COMP-SRC-012""]"	Round 16A promotes the verified Round 13 split sense SOURCE_ATTESTED_SPLIT_CANDIDATE: Each phrase has a peer-reviewed design or architectural-history use, a second independent scholarly use, and a distinct bounded role or time structure after source and semantic review.	"[""docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv#GAP-002:cultural transfer""]"	"[""ROUND13"",""ROUND16A""]"	"[""docs/research/trace-v49-exploration-composition-review-round1/06_VOCABULARY_GAP_EVIDENCE.tsv"",""docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv"",""docs/research/trace-v49-exploration-composition-review-round1/14_ACTIVATION_CANDIDATE_PACKAGE.json"",""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:3b1c0afa08be1f6d47155529df238c313b9a08c9b7b96801991a4492705f8eb4		cultural transferral	cultural transferral	RESEARCH_ONLY	GOVERNED_RESEARCH_ONLY			[]	[]				[]	[]	Round 9 DEFER_SINGLE_ATTESTATION: The exact phrase has one design-history work.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0029""]"	"[""ROUND9""]"	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	cultural transformation	cultural transformation	ACTIVE	ACTIVE_USER_VISIBLE			"[""region"",""movement""]"	"[""COMP-EVID-018"",""COMP-EVID-019""]"	In governed design-history evidence, cultural transformation denotes comparative association; transformation. Use requires both historical states, period, forces, and material evidence required; comparative cross-sectional support only; no within-case T0-to-T1 claim.	The phrases are not synonyms or universal connectors: transfer requires source, content, route, receiver, and receiving agency; negotiation requires actual unequal counterparts; adaptation requires source, adapter, and changed artifact; transformation requires named T0/T1 states, forces, period, and material evidence.	Broad theory cannot substitute for design-historical material evidence or a documented temporal transition. Transformation is not linear progress or a single external influence.	"[""COMP-EVID-018"",""COMP-EVID-019""]"	"[""COMP-SRC-017"",""COMP-SRC-018""]"	Round 16A promotes the verified Round 13 split sense SOURCE_ATTESTED_SPLIT_CANDIDATE: Each phrase has a peer-reviewed design or architectural-history use, a second independent scholarly use, and a distinct bounded role or time structure after source and semantic review.	"[""docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv#GAP-002:cultural transformation""]"	"[""ROUND13"",""ROUND16A""]"	"[""docs/research/trace-v49-exploration-composition-review-round1/06_VOCABULARY_GAP_EVIDENCE.tsv"",""docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv"",""docs/research/trace-v49-exploration-composition-review-round1/14_ACTIVATION_CANDIDATE_PACKAGE.json"",""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
