attestation_id	candidate_id	sense_id_if_applicable	source_id	author	year	publication	exact_attested_term	grammatical_form	source_language	published_translation_if_any	page_or_section_locator	bounded_context	context_word_count	context_sha256	relation_usage_paraphrase	peer_reviewed_article	design_history_usage	source_metadata_verified	attestation_verified	independent_scholarly_work
ATT-0020	REL-CAND-0010		SRC-0006	Daniele Burlando	2023	Journal of Design History	commodification	NOUN	English		abstract/p.35	supporting the appropriation and commodification of colonized textiles in Europe	10	a5dfc5259e9753f78967b00ad5db07ed5fb092330302d9dc468088caf942a655	Independent articles attest transformation into marketable value.	true	true	true	true	true
ATT-0021	REL-CAND-0011		SRC-0017	Livia Rezende	2017	Journal of Design History	gendering	NOUN	English		abstract/p.122	the gendering of nature and commodity exchange	7	cf7b1ab44a1435d87440a8607b25bc6cf3591227094e4669c4f66ba4754f4791	Independent articles attest gendered positioning of nature, commodities, and art forms.	true	true	true	true	true
ATT-0022	REL-CAND-0011		SRC-0018	Marjan Groot	2006	Journal of Design History	gendering	NOUN	English		abstract/p.121	these galleries can be linked to the gendering of art forms	11	6ee07e55177d5fe35295ab2262d0b6c4094b3e3e66f99f91a410ac78f5d8c3db	Independent articles attest gendered positioning of nature, commodities, and art forms.	true	true	true	true	true
ATT-0023	REL-CAND-0012		SRC-0020	Sarah A. Lichtman; Jilly Traganou	2021	Journal of Design History	displacement	NOUN	English		abstract/p.195	displacement, conceived of as rupture, transition, and traversal of borders, boundaries, and forms	13	6fab951939ff69a35e0a765889291c585637370faaaa4c33991b55691ada8c62	Two independently authored articles attest movement or status-changing recontextualization.	true	true	true	true	true
ATT-0024	REL-CAND-0012		SRC-0021	Paul Atkinson	2021	Journal of Design History	displacement	NOUN	English		Defining Displacement section	This object displacement is based on a fundamental shift of status	11	5009bcf8ddffb531429010994d9d73d129a11e60c28976972ca990a312ef27b1	Two independently authored articles attest movement or status-changing recontextualization.	true	true	true	true	true
ATT-0025	REL-CAND-0013		SRC-0022	Cheryl Buckley	1986	Design Issues	exclusion	NOUN	English		p.9	the exclusion of women in the historiographic methods used by design historians	12	27c7406a08759ab4c621fab7563051db4e8f324fdbff2acca058c9e00780cb0e	One exact design-historiographic noun use was verified.	true	true	true	true	true
ATT-0026	REL-CAND-0014		SRC-0023	Julia Moszkowicz	2011	Journal of Design History	erasure	NOUN	English		title/p.241	the emergence and erasure of new thinking within graphic design criticism	11	05bff86c4d16d53c54a4d67064846d42bf14231917df41274908e00bfe1a708e	One exact graphic-design-historiographic use was verified.	true	true	true	true	true
ATT-0027	REL-CAND-0015		SRC-0024	Virginia Marano	2026	Journal of Design History	access	NOUN	English		abstract	Framing access as a relational rather than corrective practice	9	0b22099f431986d9536cffec1442688a21c9b259557e65101128edd45fe4f843	One explicitly relational but generic use was verified.	true	true	true	true	true
ATT-0028	REL-CAND-0016	REL-CAND-0016#UNRESOLVED-SENSE	SRC-0012	Tania Messell	2019	Journal of Design History	translation	NOUN	English		abstract/p.88	processes of translation shaped their interactions	6	2fa7bdece1b816cc9b6fbc81b9b6b9697ebbad568394fa00b2f51b3edae74a4e	One exact bare noun use cannot establish a stable cultural rather than literal sense.	true	true	true	true	true
ATT-0029	REL-CAND-0017		SRC-0005	Adriana Laura Massidda	2019	Journal of Design History	creative appropriation	NOUN_PHRASE	English		title/p.35	process of creative appropriation	4	eb9fea0b8601555de0dfbf711775aa14a70b6af520984cc0345f3fb705e72123	The exact modified phrase occurs in one independent work.	true	true	true	true	true
ATT-0030	REL-CAND-0018		SRC-0022	Cheryl Buckley	1986	Design Issues	collective process	NOUN_PHRASE	English		p.11	Design, then, is a collective process	6	d5654a041b0b3a13b4685af7bce6739482acdb5f77007a19458bcef83f0e0c0f	The phrase is a compositional description, not a stable design-history relation label.	true	true	true	true	true
ATT-0031	REL-CAND-0019		SRC-0024	Virginia Marano	2026	Journal of Design History	relational infrastructure	NOUN_PHRASE	English		Access as intimacy, access as method section	intimacy is not a neutral encounter but a relational infrastructure built on recognition, slowness, and care	16	a9e3905ca65002806e8f769f04979c0a4fb2c47ca763b796d32c73a0b2083a2f	The phrase is an author-specific rhetorical formulation with no independent uptake.	true	true	true	true	true
ATT-0032	REL-CAND-0020		SRC-0025	Kjetil Fallan	2014	Journal of Design History	work migrations	NOUN_PHRASE	English		p.77	what Ringdal terms work migrations became the norm in this local community	12	780f03e3c25bb43f6cdd71c9ff976bcdeda2f93db3a3493886ccbc4998981301	Published English forms are one translation chain and the original Norwegian term was not exposed.	true	true	true	true	true
ATT-0033	REL-CAND-0020		SRC-0026	Siv Ringdal; translator Kjetil Fallan	2014	Journal of Design History	work migration	NOUN_PHRASE	Norwegian		p.79	eighty years of work migration between this rural community and the States	12	670756a9070a94f29f444b320638913b4a89d89460c940c9dcc0935c04ba97f5	Published English forms are one translation chain and the original Norwegian term was not exposed.	false	true	true	true	false
ATT-0034	REL-CAND-0021		SRC-0027	Tom Cubbin	2016	Journal of Design History	collective production	NOUN_PHRASE	English		opening extract	a transition to the collective production of the material environment	10	a6b6d1554605be3e595182d25b29d2db6b91e967b435d231ed21f16ac01831b9	One peer-reviewed contextual introduction attests the English phrase; the original term is unverified.	true	true	true	true	true
ATT-0035	REL-CAND-0022		SRC-0029	Fedja Vukić	2017	Journal of Design History	oblikovanje	NOUN	Croatian	form-giving	opening extract	oblikovanje (‘form-giving’)	2	e3e4a440bfb3c47913e0af9edb1fc065c25532e761e591b1be4aee0bfd3dbda1	The published Croatian term/gloss names form-giving or design practice rather than a relation.	true	false	true	true	true
ATT-0036	REL-CAND-0023		SRC-0031	Rose Cooper; Darcy White	2005	Journal of Design History	transculturation	NOUN	English		abstract/p.285	a discrete module entitled Transculturation	5	087fa1091254a8a8b6083120efca4cf8bd968c6b80249ee4f326c0c08bd863c2	An article and independent scholarly chapter support cultural change through contact.	true	true	true	true	true
ATT-0037	REL-CAND-0023		SRC-0032	Nicolas P. Maffei	2016	Designing Worlds	transculturation	NOUN	English		p.211	a blended methodology is necessary to understand transculturation in design and the ways in which it is socially embedded	19	78050c8946293f43f30dfe51342e05e17ab76c0de4054d8b1926181ef93c7631	An article and independent scholarly chapter support cultural change through contact.	false	true	true	true	true
ATT-0038	REL-CAND-0024		SRC-0035	Damon Taylor	2016	Journal of Design History	cultural mobility	NOUN_PHRASE	English		title/p.245	the Cultural Mobility of Tejo Remy's Chest of Drawers	9	83c7a28c09359435833b7fa3a9a51a555bb4047fa487d32961560b340e8282d2	An article and independent chapter attest mobility of goods, people, and practices.	true	true	true	true	true
ATT-0039	REL-CAND-0024		SRC-0036	Patricia Lara-Betancourt	2016	Designing Worlds	cultural mobility	NOUN_PHRASE	English		p.243	a focus on cultural mobility of goods, artefacts, people and cultural practices	12	7302d84deadf9f0b1f9fca70d324e005d341bccc7fe77ec0dda6d0effaf49b66	An article and independent chapter attest mobility of goods, people, and practices.	false	true	true	true	true
ATT-0040	REL-CAND-0025		SRC-0037	Anders V. Munch	2017	Journal of Design History	self-exoticization	NOUN	English		abstract/p.50	this discourse was manifested as self-exoticization	6	99af8851fb748a92b11a94a5adc24dbedb8b5cf66b77a8613fbce1036371e48e	The coined noun has a foundational article and independent design-history reception.	true	true	true	true	true
ATT-0041	REL-CAND-0025		SRC-0033	Malene Breunig; Shona Kallestrup	2020	Journal of Design History	self-exoticization	NOUN	English		accepted manuscript p.6	Anders V. Munch has coined the term self-exoticization	8	46d13315b010310ece28977a904a60f9a72824e857e695466c7d21f81527dd65	The coined noun has a foundational article and independent design-history reception.	true	true	true	true	true
ATT-0042	REL-CAND-0026		SRC-0038	Bruna Ferreira Montuori; Viviane Mattos Nicoletti	2021	PosFAUUSP	colonialidade do poder	NOUN	Portuguese	coloniality of power	abstract/p.1	teorias que elucidam a colonialidade do poder	7	e8043d8c3a1c07b8dc8cbce0295a6ddd64a0c54fe6a6fc7cefd75c91d6bf4550	Published Portuguese-English evidence and independent English use support one bounded structural sense.	true	true	true	true	true
ATT-0043	REL-CAND-0026		SRC-0039	Sarah Cheang; Katie Irani; Livia Rezende; Shehnaz Suterwalla	2023	Journal of Design History	Coloniality	NOUN	English		p.10	Coloniality and modernity have relied on the idea of transparency	10	c380c3d67954b637598adef19d13f1a61858fa5dd9230d038db9250dd878db77	Published Portuguese-English evidence and independent English use support one bounded structural sense.	true	true	true	true	true
ATT-0044	REL-CAND-0027	REL-CAND-0027#UNRESOLVED-SENSE	SRC-0040	Meghan Kelly	2022	Journal of Design History	decolonization	NOUN	English		abstract/p.168	the discourse has shifted to first, the decolonization of design	10	26d982ab8203883e24ce654157a9109ec1e916f52c3c7b0922c6e4de60ae5d8d	Disciplinary/practice and historical-political senses require separately attested sense records.	true	true	true	true	true
ATT-0045	REL-CAND-0027	REL-CAND-0027#UNRESOLVED-SENSE	SRC-0041	Zeina Maasri	2026	Journal of Design History	decolonization	NOUN	English		p.86	books as agents of decolonization	5	806784a12dc6339dc3a5cf871a89bd12e27cc05a47b433585b3ab9d7b5a1cb00	Disciplinary/practice and historical-political senses require separately attested sense records.	true	true	true	true	true
ATT-0046	REL-CAND-0028		SRC-0042	M. Amah Edoh	2016	Journal of Design History	power relations	NOUN_PHRASE	English		abstract/p.258	a project to redraw power relations between Europeans and Africans	10	49e0797959126108c332ed3c05e3cecc316f42333067efbe4817d067e0bc13dc	The phrase is relational but remains generic social-science vocabulary rather than a stable design-history construct.	true	true	true	true	true
ATT-0047	REL-CAND-0028		SRC-0043	Laura J. Allen	2024	Arts	power relations	NOUN_PHRASE	English		abstract	the frictions of property and power relations within settler-colonial states	10	49ac64f867f754fbd617b4269f7bcbfdc305233575d36b4612c159eada0c0c5d	The phrase is relational but remains generic social-science vocabulary rather than a stable design-history construct.	true	true	true	true	true
ATT-0048	REL-CAND-0029		SRC-0033	Malene Breunig; Shona Kallestrup	2020	Journal of Design History	cultural transferral	NOUN_PHRASE	English		abstract/p.158	an analysis of the cultural transferral of the concept	9	3008f2eb67653c2f785d1d65ae145677d8b445e1bdb0e8e1dad57e855f2e39b6	The exact phrase has one design-history work.	true	true	true	true	true
ATT-0049	REL-CAND-0030		SRC-0044	Harriet Atkinson; Verity Clarkson	2017	Design and Culture	cultural diplomacy	NOUN_PHRASE	English		pp.117-118	exchanges of soft power or cultural diplomacy	7	3ec09dd2095910563ba038618138615498823be555f591056cf464b68c3f061c	Two sources attest the phrase but explicitly question its precision and actor boundary.	false	true	true	true	true
ATT-0050	REL-CAND-0030		SRC-0045	Jonathan M. Woodham; Michael Thomson	2017	Design and Culture	cultural diplomacy	NOUN_PHRASE	English		title/p.225	Cultural Diplomacy and Design in the Late Twentieth and Twenty-First Centuries	11	f022254eb97786e4c841b17717ef258ca473aa551018c56c8a724079d315b084	Two sources attest the phrase but explicitly question its precision and actor boundary.	true	true	true	true	true
ATT-0051	REL-CAND-0031		SRC-0046	Yuko Kikuchi	2019	A Companion to Contemporary Design since 1945	transnationalism	NOUN	English		title/ch.4	Transnationalism for Design History	4	df26093a7437a38dfa1ecbc45bafb1a3c1335965e0b53fa4f84db29b597a7d86	Sources present it as a historiographic framework or field label, not a relation.	false	false	true	true	true
ATT-0052	REL-CAND-0032		SRC-0048	Sheilagh Quaile	2023	Journal of Design History	imitation	NOUN	English		title/p.1	Imitation and Piracy in Paisley Shawl Design	7	b0f2e03b79eea654121688fc7c93e1f74a38052646b614336b1251df1d5a459d	Independent peer-reviewed design-history articles attest copying as a historical process.	true	true	true	true	true
ATT-0053	REL-CAND-0032		SRC-0049	Alastair Durie	1993	Journal of Design History	imitation	NOUN	English		title/p.71	Imitation in Scottish Eighteenth-Century Textiles	5	e4a4d324d99c6be8f98facaefc5a701ca8788f768eafc58e90f2db836f4f38b3	Independent peer-reviewed design-history articles attest copying as a historical process.	true	true	true	true	true
ATT-0054	REL-CAND-0033		SRC-0048	Sheilagh Quaile	2023	Journal of Design History	piracy	NOUN	English		title/p.1	Imitation and Piracy in Paisley Shawl Design	7	b0f2e03b79eea654121688fc7c93e1f74a38052646b614336b1251df1d5a459d	A design-history article and independent historical design-protection article attest unauthorized copying.	true	true	true	true	true
ATT-0055	REL-CAND-0033		SRC-0050	Marianne Dahlén	2012	Business History	piracy	NOUN	English		abstract/p.88	fashion piracy has been practised on an industrial scale for at least a century	14	b95637a42fda860b7c81afd716f6e6504521470966f7b7cbf76cf2020038c5ce	A design-history article and independent historical design-protection article attest unauthorized copying.	true	true	true	true	true
